Document	Topic	Page	Type	Primary	Group
SF	Humaniti	3	Setting		
SF	Solomani	3	Setting		
SF	Vilani	4	Setting		
SF	Selenite	5	Sophonts		
SF	Travellers	6	Sophonts		Selenite
SF	Aquamorph	7	Sophonts		
SF	Travellers	8	Sophonts		Aquamorph
SF	Solomani Front, Overview	3	Setting		
SF	Solomani Front, Overview	3	Solomani		
SF	Ape	10	Sophonts		
SF	Travellers	10	Sophonts		Ape
SF	Gurungan	11	Sophonts		
SF	Travellers	12	Sophonts		Gurungan
SF	Weeven	13	Sophonts		
SF	Ladybug	12	Sophonts		
SF	Travellers	12	Sophonts		Ladybug
SF	Karima Delgado, Duchess	16	Person		
SF	Kieran Adair, Archduke	16	Person		
SF	Yuri Blackwell	20	Person		
SF	Solomanii Rim, Imperial Forces Map	22	Setting		
SF	Alpha Crucis, Imperial Forces Map	22	Setting		
SF	Confederation Territory	25	Solomani		
SF	Solomani Security (SolSec)	27	Solomani		
SF	Navy	28	Solomani		
SF	Solomanii Rim, Confederation Forces Map	30	Solomani		
SF	Alpha Crucis, Confederation Forces Map	30	Solomani		
SF	Culture	32	Solomani		
SF	Pilgham Economic Security Zone	34	Solomani		
SF	Boötean Federation	35	Solomani		
SF	Jardin-Cluster Systems	34	Solomani		
SF	Kukulcan Economic Zone	35	Solomani		
SF	Gemini Rift	35	Solomani		
SF	Thetis-Laputa Coalition	35	Solomani		
SF	Near Boötes Trade War	37	Solomani		
SF	Orichalc Gateway	37	Solomani		
SF	Consolidation of Turin	37	Solomani		
SF	Central Alpha Crucis Cluster	38	Solomani		
SF	Trans-Crucis Mains	38	Solomani		
SF	Regulus Fleet Reserve Zone	38	Solomani		
SF	Astrographic Factors	34	Solomani		
SF	Political Factors	34	Solomani		
SF	Confederation Party Factions	38	Solomani		
SF	Rim Hawks	38	Solomani		
SF	Rim Purists	38	Solomani		
SF	Rising Phoenix	38	Solomani		
SF	Vega First	39	Solomani		
SF	Black Swans	38	Solomani		
SF	Terra First!	38	Solomani		
SF	Eschatonic Accelerationists	39	Solomani		
SF	Rim Federalist	39	Solomani		
SF	Peace Faction	39	Solomani		
SF	Pure Federalist	39	Solomani		
SF	Solomani Solidarity	39	Solomani		
SF	Pan-Earthers	39	Solomani		
SF	Brotherhood of Man	39	Solomani		
SF	Embracers	39	Solomani		
SF	Sirius Rising	39	Solomani		
SF	Ships	40	Solomani		
SF	Kestrel Aerospace Fighter	42	Small Craft		
SF	Kestrel Aerospace Fighter	42	Solomani		Small Craft
SF	Kestrel Fighter	43	Small Craft		
SF	Kestrel Fighter	43	Solomani		Small Craft
SF	Kestrel Leader	43	Small Craft		
SF	Kestrel Leader	43	Solomani		Small Craft
SF	Kestrel Trainer	43	Small Craft		
SF	Kestrel Trainer	43	Solomani		Small Craft
SF	Scorpion-Class Strike Boat	44	Small Craft		
SF	Scorpion-Class Strike Boat	44	Solomani		Small Craft
SF	Mercury-Class Courier Vessel	46	Ships		
SF	Mercury-Class Courier Vessel	46	Solomani		Ships
SF	Daring-Class Fleet Destroyer	49	Ships		
SF	Daring-Class Fleet Destroyer	49	Solomani		Ships
SF	Murat-Class Battle Monitor	53	Ships		
SF	Murat-Class Battle Monitor	53	Solomani		Ships
SF	Mountain-Class Logistics Barge	57	Ships		
SF	Mountain-Class Logistics Barge	57	Solomani		Ships
SF	Zuiho-Class Light Carrier	61	Ships		
SF	Zuiho-Class Light Carrier	61	Solomani		Ships
SF	Carnot-Class Naval Tender	65	Ships		
SF	Carnot-Class Naval Tender	65	Solomani		Ships
SF	Vegan Autonomous District	69	Setting		
SF	Overview	69	Vegan		
SF	Society	70	Vegan		
SF	Culture	70	Vegan		
SF	Government	70	Vegan		
SF	Military	70	Vegan		
SF	History	70	Vegan		
SF	Travellers	72	Vegan		
SF	Vegan	69	Sophonts		
SF	Travellers	72	Sophonts		Vegan
SF	Terms	73	Vegan		Travellers
SF	Benefits and Retirement	73	Vegan		Travellers
SF	Life Events	73	Vegan		Travellers
SF	Vegan Administrator and Diplomat Mishaps	73	Vegan		Travellers
SF	Vegan Administrator and Diplomat Events	74	Vegan		Travellers
SF	Vegan Military Mishaps	74	Vegan		Travellers
SF	Vegan Military Events	75	Vegan		Travellers
SF	Glossary	75	Vegan		
SF	Highguard	76	Vegan		
SF	Vegan Accommodation Unit	76	High Guard		
SF	Endeavour Chamber	76	High Guard		
SF	Small Craft Recess	76	High Guard		
SF	Craft Control Chamber	77	High Guard		
SF	Vegan Interface Transport	78	Vegan		Small Craft
SF	Vegan Interface Transport	78	Small Craft		
SF	Khylduar-Class Vegan Vessel	80	Vegan		Ships
SF	Khylduar-Class Vegan Vessel	80	Ships		
SF	Delgado Trading	82	Megacorporation		
SF	General Products	83	Megacorporation		
SF	Gesellschaft feur Sternschiffbau AG (GSbAG)	83	Megacorporation		
SF	Hortalez et Cie	83	Megacorporation		
SF	Instellarms	83	Megacorporation		
SF	Ling-Standard Products (LSP)	84	Megacorporation		
SF	Makhidkarun	84	Megacorporation		
SF	Naasirka	84	Megacorporation		
SF	Sharurshid	84	Megacorporation		
SF	Sternmetal Horizons	84	Megacorporation		
SF	Schunamann und Sohn AG (SuSAG)	85	Megacorporation		
SF	Transstar	85	Megacorporation		
SF	Tukera Lines	85	Megacorporation		
SF	Zirunkariish	85	Megacorporation		
SF	Stella Polaris Freightliner	86	Ships		
SF	Stella Polaris Freightliner	86	Solomani		Ships
SF	ConTech	89	Corporation		
SF	Crown Lines	89	Corporation		
SF	Ereshkigal AG	89	Corporation		
SF	Ewm Shao Gwi	89	Corporation		
SF	Lamarck Minerals	89	Corporation		
SF	Macrogenesis	89	Corporation		
SF	Ewm Shao Gwi	89	Vegan		
SF	ConTech	89	Solomani		
SF	Crown Lines	89	Solomani		
SF	Ereshkigal AG	89	Solomani		
SF	Macrogenesis	89	Solomani		
SF	Panstellar	90	Solomani		
SF	Panstellar	90	Corporation		
SF	Corrosive Environment Construction Platform	90	Vehicles		
SF	Corrosive Environment Construction Platform	90	Solomani		Vehicles
SF	Saxe Transport	92	Corporation		
SF	Seaharvester	92	Corporation		
SF	Solomani Chemicals (SolChem)	92	Corporation		
SF	Solomani Military Industries	92	Corporation		
SF	Solomani Shipping	92	Corporation		
SF	Solar Shipping	92	Corporation		
SF	Saxe Transport	92	Solomani		
SF	Seaharvester	92	Solomani		
SF	Solomani Chemicals (SolChem)	92	Solomani		
SF	Solomani Military Industries	92	Solomani		
SF	Solomani Shipping	92	Solomani		
SF	Solar Shipping	92	Solomani		
SF	Solomani Strategic Technologies (SST)	93	Solomani		
SF	Star Core	93	Solomani		
SF	Thinking Machines Incorporated (TMI)	93	Solomani		
SF	Tsyasha Kwa	93	Solomani		
SF	Utarek	93	Solomani		
SF	Valkyrie Technologies	93	Solomani		
SF	Solomani Strategic Technologies (SST)	93	Corporation		
SF	Star Core	93	Corporation		
SF	Thinking Machines Incorporated (TMI)	93	Corporation		
SF	Tsyasha Kwa	93	Corporation		
SF	Utarek	93	Corporation		
SF	Valkyrie Technologies	93	Corporation		
SF	Crusader Superheavy Tank	94	Vehicles		
SF	Crusader Superheavy Tank	94	Solomani		Vehicles
SF	Torbellino Grav Speeder	96	Vehicles		
SF	Torbellino Grav Speeder	96	Solomani		Vehicles
SF	Alpha Hawks	98	Solomani		
SF	Anti-Solomani Activists	98	Solomani		
SF	Asteroid Miners of Alpha Crucis (AMAC)	98	Solomani		
SF	Authentic Movement	98	Solomani		
SF	Johann Kramm	98	Person		
SF	The Authentic Experience	98	Setting		
SF	Dolphin Embracers	99	Solomani		
SF	Free Monitors	99	Solomani		
SF	Imperial Solomani Parties	99	Solomani		
SF	ManFirst Party	99	Solomani		
SF	Pan-Galactic Friends of Life	100	Solomani		
SF	Purists	100	Solomani		
SF	Realists	100	Solomani		
SF	Rimward Expansionists	100	Solomani		
SF	Society of Sovereignty of Man Over Machine (SSMM)	100	Solomani		
SF	Society for the Protection of Terra	101	Solomani		
SF	Solomani Freedom Party	101	Solomani		
SF	Solomani Inter-Faith Development Partnership of Alpha Crucis (SIPAC)	101	Solomani		
SF	The Vegan Truth	101	Solomani		
SF	Black Phoenix	101	Solomani		
SF	Isazii Feruu Guaankarundn (IFG)	102	Solomani		
SF	Kidashi Liberation Front	102	Solomani		
SF	Knights of the First Cross	102	Solomani		
SF	Jardin Syndicate	103	Solomani		
SF	Mercenaries	103	Solomani		
SF	Phoenix Project	103	Solomani		
SF	Pirates of the Rim	104	Solomani		
SF	Solomani Freedom Army	104	Solomani		
SF	Solomani Liberation Front (SLF)	104	Solomani		
SF	Rule of Terra	104	Solomani		
SF	Solomani Rim	107	Sectors		
SF	Base Codes	108	Rules		
SF	Timeline	119	Solomani		
SF	Ultima, Solomani Rim	121	Subsectors		
SF	Amkhalarug, Ultima	123	Systems		
SF	Iishakku Nirkra	123	Person		
SF	Azun, Ultima	124	Systems		
SF	Catanian White Fever	124	Setting		Diseases
SF	Iddamakur, Ultima	125	Systems		
SF	Thamber, Ultima	125	Systems		
SF	Reginald Parson, Count	126	Person		
SF	Ugarup, Ultima	126	Systems		
SF	Gurungan	126	Sophonts		
SF	MODIFIED ADDUMSA SYSTEM DEFENCE BOAT	127	Ships		
SF	MODIFIED ADDUMSA SYSTEM DEFENCE BOAT	127	Solomani		Ships
SF	Aquatic Species	129	High Guard		
SF	Internal Aquatic Environment	129	High Guard		
SF	Internal Deepwater Environment	129	High Guard		
SF	Aquatic Living Space	129	High Guard		
SF	Suleiman, Solomani Rim	130	Subsectors		
SF	Ariana hault-Karalan, Duchess	132	Person		
SF	Khedish, Suleiman	132	Systems		
SF	Okefenokee, Suleiman	132	Systems		
SF	New Okefenokee Army (NOA)	133	Setting		
SF	Suleiman, Suleiman	133	Systems		
SF	Concord, Solomani Rim	134	Subsectors		
SF	Easter, Concord	136	Systems		
SF	Inidu, Concord	136	Systems		
SF	Schunamann und Sohn AG (SuSAG)	136	Megacorporation	No	
SF	Mudge, Concord	137	Systems		
SF	Xiwa, Concord	137	Systems		
SF	Zuchai Crystals	137	Setting		
SF	Xiwa Technum Collective	137	Setting		
SF	Xiwa Freedom League	137	Setting		
SF	Zuchai Drive Technologies	137	Corporation		
SF	Harlequin, Solomani Rim	139	Subsectors		
SF	Dmitri hault-Fionbrea, Duke	139	Person		
SF	Arkiirkii, Harlequin	140	Systems		
SF	Gadden, Harlequin	142	Systems		
