Document	Topic	Page	Type	Primary	Group
SW	Sword Worlds Confederation	2	Polity		
SW	Gram	3	Setting		
SW	Triple Dominion	6	Sword Worlds Confederation		
SW	Sacnoth Dominate	6	Sword Worlds Confederation		
SW	Second Dominate	10	Sword Worlds Confederation		
SW	Society	17	Sword Worlds Confederation		
SW	Soldat	18	Sword Worlds Confederation		
SW	Money	18	Sword Worlds Confederation		
SW	Law	19	Sword Worlds Confederation		
SW	Social Standing	20	Sword Worlds Confederation		
SW	Outlaws	20	Sword Worlds Confederation		
SW	Thralls	20	Sword Worlds Confederation		
SW	Lagre Order	20	Sword Worlds Confederation		
SW	Cottars	20	Sword Worlds Confederation		
SW	Carls	20	Sword Worlds Confederation		
SW	Greve	20	Sword Worlds Confederation		
SW	Jarl	20	Sword Worlds Confederation		
SW	Hertug	20	Sword Worlds Confederation		
SW	Religion	21	Sword Worlds Confederation		
SW	Aesirists	21	Sword Worlds Confederation		Religion
SW	Aesirists	21	Setting		Religion
SW	Government	22	Sword Worlds Confederation		
SW	Infrastructure	24	Sword Worlds Confederation		
SW	Commerce	24	Sword Worlds Confederation		
SW	Exiles	24	Sword Worlds Confederation		
SW	Outlaws	24	Sword Worlds Confederation		
SW	Refugees	24	Sword Worlds Confederation		
SW	Government	26	Sword Worlds Confederation		
SW	Military	27	Sword Worlds Confederation		
SW	Interstellar Patrol	27	Sword Worlds Confederation		
SW	Patrol Ranks	29	Sword Worlds Confederation		
SW	Diplomatic Corp	30	Sword Worlds Confederation		
SW	Scientific Corp	31	Sword Worlds Confederation		
SW	Mercantile Service	32	Sword Worlds Confederation		
SW	Navy	33	Sword Worlds Confederation		
SW	Fleets	33	Sword Worlds Confederation		
SW	Tizon	34	Sword Worlds Confederation		Fleets
SW	Joyeuse	34	Sword Worlds Confederation		Fleets
SW	Gram	34	Sword Worlds Confederation		Fleets
SW	Sacnoth	34	Sword Worlds Confederation		Fleets
SW	Narsil	34	Sword Worlds Confederation		Fleets
SW	Dyrnwyn	34	Sword Worlds Confederation		Fleets
SW	Sting	34	Sword Worlds Confederation		Fleets
SW	Biter	34	Sword Worlds Confederation		Fleets
SW	Command Area	34	Sword Worlds Confederation		
SW	Hrunting	35	Sword Worlds Confederation		Command Area
SW	Mjolnir	35	Sword Worlds Confederation		Command Area
SW	Colada	35	Sword Worlds Confederation		Command Area
SW	Durendal	35	Sword Worlds Confederation		Command Area
SW	Anduril	35	Sword Worlds Confederation		Command Area
SW	Enos	35	Sword Worlds Confederation		Command Area
SW	Tactical Formations	35	Sword Worlds Confederation		
SW	Warships	36	Sword Worlds Confederation		
SW	Ship Types	36	Sword Worlds Confederation		
SW	Defensive Operations	38	Sword Worlds Confederation		
SW	Offensive Operations	39	Sword Worlds Confederation		
SW	Raiding Operations	40	Sword Worlds Confederation		
SW	Naval Ranks	40	Sword Worlds Confederation		
SW	Enlisted Ranks	41	Sword Worlds Confederation		Naval Ranks
SW	Officer Ranks	42	Sword Worlds Confederation		Naval Ranks
SW	Flag Officer Ranks	42	Sword Worlds Confederation		Naval Ranks
SW	Ground Forces	44	Sword Worlds Confederation		
SW	Grav-Mobile Forces	45	Sword Worlds Confederation		
SW	Non-Grav Mobile Units	45	Sword Worlds Confederation		
SW	Maritime and Aerospace Forces	52	Sword Worlds Confederation		
SW	Military Ranks	52	Sword Worlds Confederation		
SW	Enlisted Ranks	53	Sword Worlds Confederation		Military Ranks
SW	Officer Ranks	54	Sword Worlds Confederation		Military Ranks
SW	General Officrt Ranks	54	Sword Worlds Confederation		Military Ranks
SW	Gram Arm	55	Setting		
SW	Gram Arm	55	Sword Worlds Confederation		Region
SW	Tizon, Sword Worlds	56	System		
SW	Tizon, Sword Worlds	56	Sword Worlds Confederation		System
SW	Colada, Sword Worlds	58	System		
SW	Colada, Sword Worlds	58	Sword Worlds Confederation		System
SW	Joyeuse, Sword Worlds	60	System		
