Document	Topic	Page	Type	Primary	Group
TDatD	The Buffer, History	3	Setting		
TDatD	Kusyu, Kilrai' 	3	Systems		
TDatD	Yerlyaruiwo	4	Aslan	No	Clan
TDatD	Khaukheairl	4	Aslan	No	Clan
TDatD	Ukhtai	4	Setting		
TDatD	Reavers	6	Setting		
TDatD	Blackjack Duquesne	6	Setting		
TDatD	Orchid Wu Lu	6	Setting		
TDatD	Grand Admiral lzanak	6	Setting		
TDatD	Tralyeaeawi	7	Aslan	No	Clan
TDatD	Aslan Border Wars	8	Setting		
TDatD	Cultural Purge	10	Aslan		
TDatD	Treaty of the Dark Nebula	12	Setting		
TDatD	Savage Main	13	Setting		
TDatD	Litininin Horvath of Warinir, Duke	19	Setting		
TDatD	Dulinor Astrln llethian, Archduke	19	Setting		
TDatD	Ayansh’i	21	Sophonts		
TDatD	Ghost, Nightrim	21	Systems	No	
TDatD	Bruhre	22	Sophonts		
TDatD	Travellers	22	Sophonts		Bruhre
TDatD	Corve, Dudin	22	Systems	No	
TDatD	Happrhani	23	Sophonts		
TDatD	Travellers	23	Sophonts		Happrhani
TDatD	Loren, Caledon	22	Systems	No	
TDatD	Rejhappur, Scotian Deep	23	Systems	No	
TDatD	Mother Simbula	24	Setting		
TDatD	Lurana Rihanur	24	Setting		
TDatD	Scotian Deep Trading Company	23	Setting		
TDatD	Hloans	25	Sophonts		
TDatD	Hloa, Yataw	25	Systems	No	
TDatD	J’aadje	25	Sophonts		
TDatD	Travellers	26	Sophonts		J’aadje
TDatD	Gaajpadje, Ea	25	Systems	No	
TDatD	Iltharans	25	Sophonts		
TDatD	Travellers	26	Sophonts		Iltharans
TDatD	Drexilthar, Drexilthar	25	Systems	No	
TDatD	Ormine	27	Sophonts		
TDatD	Travellers	28	Sophonts		Ormine
TDatD	Akhlare, Akhlare	27	Systems	No	
TDatD	Tlyetrai	28	Sophonts		
TDatD	Hoa, Farift	28	Systems	No	
TDatD	Travellers	29	Sophonts		Tlyetrai
TDatD	Ulane	29	Sophonts		
TDatD	Ul, Earle	29	Systems	No	
TDatD	Travellers	30	Sophonts		Ulane
TDatD	Virushi	30	Sophonts		
TDatD	Virshash, Urlaqqash	30	Systems	No	
TDatD	Travellers	31	Sophonts		Virushi
TDatD	Yn-tsai	32	Sophonts		
TDatD	Tsanesi, Caledon	32	Systems	No	
TDatD	Travellers	32	Sophonts		Yn-tsai
TDatD	Carrillian Assembly	33	Polity		
TDatD	Carter Technocracy	34	Polity		
TDatD	Confederation of Duncinae	35	Polity		
TDatD	Dienbach Grÿpen	35	Polity		
TDatD	Gerontocracy of Ormine	35	Polity		
TDatD	Gralyn Assemblage	36	Polity		
TDatD	Grand Duchy of Marlheim	37	Polity		
TDatD	Katarine Tang, Admiral	37	Setting		
TDatD	Islaiat Dominate	37	Polity		
TDatD	Tralyeaeawi	37	Aslan		Clan
TDatD	Arielism	37	Setting		
TDatD	Maijarra, Hryaroaa	37	Systems	No	
TDatD	Khan World League	38	Polity		
TDatD	Kolan Hegemony	38	Polity		
TDatD	Lanyard Colonies	39	Polity		
TDatD	Principality of Caledon	39	Polity		
TDatD	Purity Union	42	Polity		
TDatD	Tlyetrai Assembly	42	Polity		
TDatD	Union of Harmony	42	Polity		
TDatD	Aslanic	43	Setting		
TDatD	Islai	44	Setting		
TDatD	Galanglic	43	Setting	No	
TDatD	Osmani	44	Setting		
TDatD	Standard Vilani	44	Setting	No	
TDatD	Thirmone	44	Setting		
TDatD	Trokh	44	Setting	No	
TDatD	Virushi	44	Setting		
TDatD	Caledon Run	45	Setting		
TDatD	Trans-Deep Route	45	Setting		
TDatD	Kuzu Route	45	Setting		
TDatD	Aariskin Corporation	47	Setting		
TDatD	Agilitrix	47	Setting		
TDatD	Aikhiy Development Trust	47	Setting		
TDatD	Arbuthnot Minerals and Resources	47	Setting		
TDatD	Aslanic Expeditions	47	Setting		
TDatD	Caledon Highlanders	47	Setting		
TDatD	Caledon Ventures	47	Setting		
TDatD	Carrillines	48	Setting		
TDatD	Cargonaut Traders and Factors Amalgamated	48	Setting		
TDatD	Contech	48	Setting		
TDatD	Dakaar Corporation	48	Setting		
TDatD	Delgado Trading	48	Setting	No	
TDatD	Diverseco	49	Setting		
TDatD	E'al Htoukha	49	Setting	No	
TDatD	Hlaotiyoiho	49	Aslan	No	Clan
TDatD	Ehryafya	49	Setting	No	
TDatD	Faiekhas	49	Setting	No	
TDatD	Farstar Publishing	49	Setting		
TDatD	Fulton Metals	49	Setting		
TDatD	Gesellschaft feur Sternschiffbau AG (GSbAG)	49	Setting	No	
TDatD	Hortalez et Cie	49	Setting	No	
TDatD	Hwyroar	49	Setting	No	
TDatD	Instellarms	50	Setting	No	
TDatD	Iyalil	50	Setting	No	
TDatD	Jericorp Mining	50	Setting		
TDatD	Afaikhiyoi	50	Aslan	No	Clan
TDatD	Kaha A'huye	50	Setting	No	
TDatD	Hoaawli’ukhtai	50	Setting	No	
TDatD	Hoaawli’ukhtai	50	Aslan	No	
TDatD	Khtularoihowa	50	Setting	No	
TDatD	Khtyuwi’	50	Setting	No	
TDatD	Larleaftea Hryawaorwya	51	Setting		
TDatD	Ling-Standard Products (LSP)	51	Setting	No	
TDatD	Longshot	51	Setting		
TDatD	Magyarchem	52	Setting		
TDatD	Makhidkarun	52	Setting		
TDatD	Naasirka	52	Setting		
TDatD	New Horizons	52	Setting		
TDatD	Oakhowus	52	Setting		
TDatD	Urlaqqash, Urlaqqash	52	Systems	No	
TDatD	Sellswords of Gilead	53	NPCs		
TDatD	Optimum Heavy Industries	53	Setting		
TDatD	Panstellar	53	Setting		
TDatD	Reastirlao	53	Setting		
TDatD	Saietaie Corporation	53	Setting		
TDatD	Scotian Deep Trading Company	54	Setting		
TDatD	Starstream Enterprises	54	Setting		
TDatD	Sternmetal Horizons	54	Setting	No	
TDatD	Schunamann und Sohn AG (SuSAG)	54	Setting	No	
TDatD	Solomani Shipping	54	Setting		
TDatD	Technoplex Corporation	54	Setting		
TDatD	Column, Akuusir	54	Systems	No	
TDatD	Teahleikhoi	55	Setting		
TDatD	Tlasayerlahel	56	Setting		
TDatD	Tlektaowa	56	Setting		
TDatD	Transstar	56	Setting	No	
TDatD	Travis Commodities	56	Setting		
TDatD	Triylouweas	56	Setting		
TDatD	Wolmaran’s Black Jackets	56	Setting		
TDatD	Damiel, Danvers	56	Systems	No	
TDatD	Houndd, Hryaroaa	56	Systems	No	
TDatD	Afeahyalhtow	57	Bestiary		
TDatD	Small Slasher	58	Bestiary		
TDatD	Rock Pouncer	58	Bestiary		
TDatD	Sea Slasher	58	Bestiary		
TDatD	Ayakhyulr	59	Bestiary		
TDatD	Cragdevil	59	Bestiary		
TDatD	Hits Speed	59	Bestiary		
TDatD	Grendal	60	Bestiary		
TDatD	Gruut	60	Bestiary		
TDatD	Haraschjarripa	61	Bestiary		
TDatD	Hyulr Eel	61	Bestiary		
TDatD	Jhederhai	61	Bestiary		
TDatD	Kielr	62	Bestiary		
TDatD	Risth	62	Bestiary		
