Document	Topic	Page	Type	Primary	Group
TGE	The Glorious Empire	2	Aslan		
TGE	History	6	Aslan		The Glorious Empire
TGE	Cultural Purge	6	Aslan		
TGE	Crossing the Great Rift	9	Aslan		
TGE	Ekarli Khyuoitalr	11	Aslan		
TGE	Territory Map, circa 730	13	Aslan		The Glorious Empire
TGE	Kheraeya	15	Aslan		
TGE	Golden Age	16	Aslan		The Glorious Empire
TGE	Eahaw Campaign	18	Aslan		The Glorious Empire
TGE	Fteir	23	Aslan		
TGE	Krial, Grand Emperor	27	Aslan		
TGE	Law	25	Aslan		The Glorious Empire
TGE	Gender Roles	28	Aslan		The Glorious Empire
TGE	Business	29	Aslan		The Glorious Empire
TGE	Slavery	33	Aslan		The Glorious Empire
TGE	Saihlea	35	Aslan		The Glorious Empire
TGE	Slave Labourer	36	NPCs		
TGE	Labourer Saihlea	36	NPCs		
TGE	Slave Servant	36	NPCs		
TGE	Manor Saihlea	36	NPCs		
TGE	Slave Ownership	37	Aslan		The Glorious Empire
TGE	Genetic Engineering	37	Aslan		The Glorious Empire
TGE	Language	37	Aslan		The Glorious Empire
TGE	Slavery in the Trojan Reach	39	Aslan		The Glorious Empire
TGE	Slaver Captain	41	NPCs		
TGE	Slaver Purser	41	NPCs		
TGE	Master Huntsman	42	NPCs		
TGE	Master Slaver Sergeant	42	NPCs		
TGE	Tao’khekhiya	43	Bestiary		
TGE	Stailoakh Slaver ATV	43	Vehicles		
TGE	Stailoakh Slaver ATV	43	Aslan		Vehicles
TGE	Travelling In	45	Aslan		The Glorious Empire
TGE	Space Encounters	45	Aslan		The Glorious Empire
TGE	Military Forces	46	Aslan		The Glorious Empire
TGE	Khireia’khaioka	49	Aslan		
TGE	Imperial Guard	50	Aslan		The Glorious Empire
TGE	Mercenary Forces	53	Aslan		The Glorious Empire
TGE	Dog Soldiers	54	Aslan		The Glorious Empire
TGE	Travellers	56	Aslan		The Glorious Empire
TGE	Careers	56	Aslan		The Glorious Empire
TGE	Career Summary	57	Aslan		The Glorious Empire
TGE	Benefits	59	Aslan		The Glorious Empire
TGE	Brotherhood of the Empire	59	Aslan		The Glorious Empire
TGE	Fleet	60	Aslan		The Glorious Empire
TGE	Fleet	60	Careers		The Glorious Empire
TGE	Fleet Officer	62	Aslan		The Glorious Empire
TGE	Fleet Officer	62	Careers		The Glorious Empire
TGE	Warrior	64	Aslan		The Glorious Empire
TGE	Warrior	64	Careers		The Glorious Empire
TGE	Warrior Officer	66	Aslan		The Glorious Empire
TGE	Warrior Officer	66	Careers		The Glorious Empire
TGE	Landless One	68	Aslan		The Glorious Empire
TGE	Landless One	68	Careers		The Glorious Empire
TGE	Slave	70	Aslan		The Glorious Empire
TGE	Slave	70	Careers		The Glorious Empire
TGE	Alirar, Nora'a	74	Systems		
TGE	Alr, Goertel	74	Systems		
TGE	Jump-4 Courier Routes	75	Aslan		The Glorious Empire
TGE	Asyuh, Goertel	75	Systems		
TGE	Foakhoa	76	Bestiary		
TGE	Eiaihiy, Goertel	76	Systems		
TGE	Eikhaaw, Goertel	76	Systems		
TGE	Ftulrois, Goertel	77	Systems		
TGE	Khimei	78	Bestiary		
TGE	Hea'a, Goertel	78	Systems		
TGE	Htourlao, Goertel	78	Systems		
TGE	Keawoaw, Goertel	79	Systems		
TGE	Oatre, Goertel	80	Systems		
TGE	Oihu, Goertel	80	Systems		
TGE	Yero'ilra, Goertel	81	Systems		
TGE	Syoakh, Goertel	81	Systems		
TGE	Yetrai	82	Aslan		Clan
TGE	Eahaw Cluster	85	Aslan		
TGE	Eahaw, Nora'a	85	Systems		
TGE	Yaeawaokh, Nora'a	85	Systems		
TGE	Woilreawau, Nora'a	88	Systems		
TGE	Lafkin, Nora'a	88	Systems		
TGE	Nora'a, Nora'a	88	Systems		
TGE	Vadada, Nora'a	88	Systems		
TGE	Earlyu, Silraaihe	89	Systems		
TGE	Erasaso, Goertel	89	Systems		
TGE	Ouiyloi, Silraaihe	89	Systems		
TGE	Rileakh, Silraaihe	89	Systems		
TGE	Ouiyloi Man Brute	90	Bestiary		
TGE	Ehrafou, Goertel	90	Systems		
TGE	Eoiw, Silraaihe	90	Systems		
TGE	Eilaeah, Goertel	91	Systems		
TGE	Goertel, Goertel	91	Systems		
TGE	Hrahraiu, Goertel	91	Systems		
TGE	Church of Nom	91	Setting		Religion
TGE	Hliyh, Goertel	91	Systems		
TGE	Eagle of Nom	92	Ships		
TGE	Hteakya, Goertel	94	Systems		
TGE	Khau, Goertel	94	Systems		
TGE	Tryaoke, Goertel	95	Systems		
TGE	Acis, Dpres	95	Systems		
TGE	Camoran, Tlaiowaha	96	Systems		
TGE	Sif, Yggdrasil	96	Systems		
TGE	Delta Theta	96	Setting		Corporation
TGE	Starlink Merchant Factors	96	Setting		Corporation
TGE	Adversary-Class Camoranian Light Carrier	97	Ships		
TGE	Camoranian Light Stealth Fighter	99	Small Craft		
TGE	Tyr, Dpres	101	Systems		
TGE	Campaigns	103	Aslan		The Glorious Empire
TGE	Eailiyo Hteiiya, General	106	Aslan		
TGE	Slovian Laptor	108	Setting		
TGE	Camoranian Starfighters	109	Setting		
TGE	Millenarian Ancestorists	110	Setting		Religion
TGE	Millenarian Ancestorists	110	Aslan		Religion
TGE	Htourlao Orbital Habitat	111	Aslan		
TGE	Aslan Mercenary Company Purser	116	NPCs		
TGE	Aslan Mercenary Company Commander	116	NPCs		
TGE	Aslan Mercenary Company Khir (Male Warrior)	116	NPCs		
TGE	Aslan Mercenary Company Ktiyhui	117	NPCs		
TGE	Tryorlaoiya	120	Patron		
TGE	Wyoaiyu	120	Patron		
TGE	Mulgren Tuuitui	120	Patron		
TGE	Hkorlaaou	120	Patron		
TGE	Khau, Goertel	120	Systems	No	
TGE	Ftulrois, Goertel	120	Systems	No	
TGE	Oatre, Goertel	120	Systems	No	
TGE	Yero'ilra, Goertel	120	Systems	No	
TGE	Future Events	121	Aslan		The Glorious Empire
TGE	Ryusiy	124	Patron		
TGE	Tyokh, Tlaiowaha	124	Systems	No	
TGE	Dostoevsky, Dpres	124	Systems	No	
TGE	Steiheilkha	124	Patron		
TGE	Hierate Campaign	125	Aslan		The Glorious Empire
TGE	Yerlyaruiwo	129	Aslan		Clan
TGE	Hrakoea	129	Aslan		Clan
TGE	Uiuikhtaiu	129	Aslan		Clan
TGE	Arhiyao	129	Aslan		Clan
TGE	Tiykhisto	130	Aslan		Clan
TGE	Evren Talkhasi	130	Patron		
TGE	Hliyh, Goertel	130	Systems	No	
TGE	Kileiowra’khiloi	130	Patron		
TGE	Tryaoke, Goertel	130	Systems	No	
TGE	Dustbelt Campaign	131	Aslan		The Glorious Empire
TGE	Vindali Procubin	133	Patron		
TGE	Colony Six, Goertel	133	Systems	No	
TGE	Karl Voidsword	133	Patron		
TGE	Oghma, Sindal	133	Systems	No	
TGE	Using travellermap.com	136	Setting		
TGE	Ahfa	139	Central Supply		
TGE	Htoua Set	139	Central Supply		
TGE	Slave Collars	140	Central Supply		
TGE	Field Flex	141	Aslan		Personal Protection
TGE	Field Flex	141	Personal Protection		
TGE	Taleryu	142	Aslan		Weapon
TGE	Taleryu	142	Weapon		Melee
TGE	Hlakhaihte	142	Aslan		Weapon
TGE	Hlakhaihte	142	Weapon		Slug Pistols
TGE	Slave Quarters	143	High Guard		
TGE	Ion Missiles	143	High Guard		Weapons
TGE	Elar Kha’yaheh-Class Multi-Purpose Fighter	144	Ships		
TGE	Elar Kha’yaheh-Class Multi-Purpose Fighter	144	Aslan		Ships
TGE	Su’ikh-Class Interceptor	146	Ships		
TGE	Su’ikh-Class Interceptor	146	Aslan		Ships
TGE	Wahtoi-Class Courier	148	Ships		
TGE	Wahtoi-Class Courier	148	Aslan		Ships
TGE	Aoheileikh-Class Mercenary Cruiser	150	Ships		
TGE	Aoheileikh-Class Mercenary Cruiser	150	Aslan		Ships
TGE	Dropship Pinnace	152	Small Craft		
TGE	Dropship Pinnace	152	Aslan		Small Craft
TGE	Syokhtei-Class Battleship	154	Ships		
TGE	Syokhtei-Class Battleship	154	Aslan		Ships
TGE	Battleship	156	Ships		
TGE	Battleship	156	Aslan		Ships
TGE	Glossary	159	Aslan		
