Document	Topic	Page	Type	Primary	Group
TTI	Society	4	Setting		
TTI	Culture	4	Setting		
TTI	Trade	4	Setting		
TTI	Technology	6	Setting		
TTI	Law	6	Setting		
TTI	Warrant for the Restoration of the Imperium	8	Setting		
TTI	Cultural Zones	8	Setting		
TTI	Interstellar Relations	10	Setting		
TTI	Internal Relations	11	Setting		
TTI	Imperial Military Forces	12	Setting		
TTI	Imperial Navy	12	Setting		
TTI	Quarantine Agency	14	Setting		
TTI	Sylean-Class Battleship	16	Ships		
TTI	Imperial Marines	20	Setting		
TTI	Sergeant Laon Kantil	21	Patron		
TTI	Imperial Marine Assault Battle Dress	22	Personal Protection		
TTI	Disposable re-entry kit	23	Central Supply		
TTI	Imperial Army	24	Setting		
TTI	Meson Rebellion	26	Setting		
TTI	Khikaba Shuna	26	Systems		
TTI	Presence	27	Setting		Imperial Army
TTI	Captain Qilaria Odom	28	Patron		
TTI	Invader Light Grav Tank	29	Vehicles		
TTI	Trepida Grav Tank	30	Vehicles		
TTI	Rapid-Fire Fusion Guns	30	Vehicle Workshop		Weapons
TTI	Astrin Grav APC	31	Vehicles		
TTI	Huscarles	32	Setting		
TTI	Imperial Guard	32	Setting		
TTI	Imperial Guard	33	Careers		3rd Imperium
TTI	Pax Imperii	34	Ships		
TTI	Project Shortbow	38	Setting		
TTI	Imperial Interstellar Scout Service	38	Setting		
TTI	Mercenary Forces	40	Setting		
TTI	Deep Dive	41	Adventures		Mercenary Contracts
TTI	Zirgamsa Ruaka Corporation (ZRC)	41	Setting		
TTI	Achenaar Antilles Line	41	Setting		
TTI	Arvlaa Gam, Saregon	41	Systems		
TTI	Intelligence Services	42	Setting		
TTI	Imperial Naval Intelligence	43	Setting		
TTI	Iiss Intelligence	43	Setting		
TTI	INI Field Agent	43	Careers		3rd Imperium
TTI	INI Minder, Lt. Nimath Tence	44	Patron		
TTI	Imperial Nobility	45	Setting		
TTI	Noble Ranks	46	Setting		
TTI	Social Standing (SOC)	46	Rules		Characteristic
TTI	Strephon Aella Alkhalikoi, Emperor	51	Setting		
TTI	Imperial Family	51	Setting		
TTI	Iolanthe Alkhalikoi, Empress	52	Setting		
TTI	Ciencia Iphegenia, Princess	53	Setting		
TTI	Imperial Edict 97	54	Setting		
TTI	Imperial Warrants	54	Setting		
TTI	Imperial Stationery	54	Central Supply		
TTI	Corporations	55	Setting		
TTI	Intell-Class Megacorporate Courier	56	Ships		
TTI	Delgado Trading	58	Setting	No	
TTI	General Products	58	Setting	No	
TTI	Gesellschaft feur Sternschiffbau AG (GSbAG)	58	Setting	No	
TTI	Hortalez et Cie	58	Setting	No	
TTI	Ling-Standard Products (LSP)	58	Setting	No	
TTI	Instellarms	58	Setting	No	
TTI	Makhidkarun	58	Setting	No	
TTI	Naasirka	58	Setting	No	
TTI	Schunamann und Sohn AG (SuSAG)	58	Setting	No	
TTI	Sharurshid	58	Setting	No	
TTI	Sternmetal Horizons	58	Setting	No	
TTI	Tukera Lines	58	Setting	No	
TTI	Zirunkariish	58	Setting	No	
TTI	History of the Third Imperium	59	Setting		
TTI	Sylean Federation	62	Setting		
TTI	Interstellar Confederacy	64	Setting		
TTI	Rom Debeshuut	64	Setting		
TTI	Chanestin Kingdom	66	Setting		
TTI	Cleon Zhunastu	69	Setting		
TTI	Zhunastu Dynasty	70	Setting		
TTI	Pacification Campaigns	75	Setting		
TTI	The Solomani Hypothesis: The True Origin of Mankind	78	Setting		
TTI	Magis Sergei haut-Devroe	78	Setting		
TTI	Julian War	79	Setting		
TTI	Vargr Campaigns	81	Setting		
TTI	Right of Assassination	82	Setting		
TTI	Porfirian Age	83	Setting		
TTI	Peace of Ftahalr	84	Setting		
TTI	Ilelish Revolt	86	Setting		
TTI	Second Frontier War	89	Setting		
TTI	Civil War	90	Setting		
TTI	First Frontier War	89	Setting		
TTI	Emperor Timeline	91	Setting		
TTI	Arbellatra Alkhalikoi, Grand Admiral	92	Setting		
TTI	Empress Marava	93	Setting		
TTI	Bilitig und Dottir	93	Setting		
TTI	Solomani Movement	95	Solomani		
TTI	Rise of the Solomani Confederation	95	Solomani		
TTI	Psionic Suppressions	96	Setting		
TTI	Project LongBOW	98	Setting		
TTI	Almost Disaster	98	Setting		
TTI	Albert Croale	98	Setting		
TTI	Third Frontier War	100	Setting		
TTI	Solomani Rim War	101	Setting		
TTI	Project Longbow II	105	Setting		
TTI	Core	106	Setting		
TTI	Apge, Core	108	Setting		
TTI	Azabaka Ashushashmi, Duchess	108	Setting		
TTI	Apge, Apge	111	Systems		
TTI	Castell, Apge	111	Systems		
TTI	Maaruur, Apge	112	Systems		
TTI	Shingan	112	Sophonts		
TTI	Niizediju, Apge	112	Systems		
TTI	Sabsee, Apge	113	Systems		
TTI	Ion Rifle	113	Weapon		Energy Rifles
TTI	Ion Shield	113	Personal Protection		
TTI	Personal Energy Shield	114	Personal Protection		
TTI	Stun Rifle	114	Weapon		Energy Rifles
TTI	Perite, Core	115	Setting		
TTI	Karnika, Perite	115	Systems		
TTI	Dagalu Kiinlarsuush Rikhummi, Duke 	115	Setting		
TTI	Shugilii Shimiirkhuki	115	Setting		
TTI	Akussanja, Perite	118	Systems		
TTI	Gakxaal, Perite	119	Systems		
TTI	Schunamann und Sohn AG (SuSAG)	119	Setting		
TTI	Shazeku, Perite	119	Setting		
TTI	Bamshimbakkada	119	Setting		
TTI	Annililik Run	120	Setting		
TTI	Empress Porfiria-Class Corporate-Sponsored Far Trader	122	Ships		
TTI	Ameros, Core	124	Setting		
TTI	Khizuun, Ameros	124	Systems		
TTI	Ameros, Ameros	124	Systems		
TTI	Hortalez et Cie, LIC	124	Setting		
TTI	Lagaashin, Ameros	127	Systems		
TTI	Kovil’s Ox	128	Bestiary		
TTI	Unnagilu, Ameros	128	Systems		
TTI	Delgado Trading, LIC	128	Setting		
TTI	IISS EVA Suit	129	Personal Protection		
TTI	Shinkan, Core	130	Setting		
TTI	Achenaar Antilles Line	130	Setting		
TTI	Ninua, Shinkan	130	Systems		
TTI	Aarza Kand, Shinkan	133	Systems		
TTI	Ekilati Onati	133	Setting		
TTI	Dim, Shinkan	134	Systems		
TTI	Dim Highport Cargo Robot	135	Robots		
TTI	Maeghen, Shinkan	135	Systems		
TTI	Minos, Shinkan	136	Systems		
TTI	Sanches, Core	137	Setting		
TTI	Arla Un, Sanches	140	Systems		
TTI	Arla Un Mining Consortium	140	Setting		
TTI	Bright-Side Crawler	141	Vehicles		
TTI	Dudin, Sanches	142	Systems		
TTI	Makhidkarun	142	Setting		
TTI	Sanches, Sanches	142	Systems		
TTI	Mekee, Core	144	Setting		
TTI	Coppelia, Mekee	144	Systems		
TTI	Gamma	144	Setting		Research Stations
TTI	Depot, Mekee	145	Systems		
TTI	Sher, Mekee	148	Systems		
TTI	Core, Core	149	Setting		
TTI	Lectorsen, Core	149	Systems		
TTI	Crompton, Core	149	Systems		
TTI	Ankod, Core	155	Systems		
TTI	Capital, Core	155	Systems		
TTI	Sylean	155	Sophonts		
TTI	Grand Palace of Arbellatra	157	Setting		
TTI	Onon, Core	157	Systems		
TTI	Rhylea, Core	159	Systems		
TTI	Shudusham, Core	159	Systems		
TTI	Shudusham Robotics Conference	160	Setting		
TTI	Syroe, Core	160	Systems		
TTI	Syroc	160	Bestiary		
TTI	Tiwath, Core	161	Systems		
TTI	Kaskii, Core	162	Setting		
TTI	Chasmata Sylea	165	Setting		
TTI	Indshiim Ganme, Kaskii	165	Systems		
TTI	Ganmeid	166	Bestiary		
TTI	Expeditionary Crawler	167	Vehicles		
TTI	Explorer Mini-Sub	168	Vehicles		
TTI	Khiinra Ash, Kaskii	169	Systems		
TTI	Bhu’oovaakaylaa	169	Bestiary		
TTI	Bhu’oovaakaylaa	169	Sophonts		
TTI	Markasher, Kaskii	170	Systems		
TTI	Conglomerate	170	Setting		
TTI	Travellers	171	Sophonts		Sylean
TTI	Bunkeria, Core	172	Setting		
TTI	Achenaar Antilles Line	175	Setting		
TTI	F’rnow, Bunkeria	175	Systems		
TTI	Hellhole, Bunkeria	175	Systems		
TTI	Irlu, Bunkeria	175	Systems		
TTI	Marsus, Bunkeria	175	Systems		
TTI	Office of Mercenary Affairs (OMA)	175	Setting		
TTI	Instellarms	176	Setting		
TTI	Raynier Grgic, Major	176	Setting		
TTI	Lalandra, Bunkeria	177	Systems		
TTI	Ramscoop	177	High Guard		
TTI	Cemplas, Core	178	Setting		
TTI	Celetron, Cemplas	178	Systems		
TTI	Biirke, Cemplas	179	Systems		
TTI	Ehok-ta, Cemplas	181	Systems		
TTI	Ne-ka-otabi	181	Setting		
TTI	Heraldia, Cemplas	181	Systems		
TTI	Khusgurlu, Cemplas	182	Systems		
TTI	Aulonn Jhourdan-Valestin	182	Setting		
TTI	Church of the Chosen Few	182	Setting		
TTI	Velpare, Cemplas	183	Systems		
TTI	Ye-lu, Cemplas	184	Systems		
TTI	Regal Voyager	185	Setting		
TTI	Beau-Ta-Quitala	185	Setting		
TTI	Chant, Core	186	Setting		
TTI	Anther, Chant	186	Systems		
TTI	Alma Santolucio, Imperial Auditor	189	Setting		
TTI	Chant Subsector Rejuvenation Project (CSRP)	189	Setting		
TTI	Chant, Chant	190	Systems		
TTI	Farhome, Chant	190	Systems		
TTI	Traa, Chant	191	Systems		
TTI	Wrebil, Chant	191	Systems		
TTI	Marak Ilyaman	191	Setting		
TTI	Dingtra, Core	192	Setting		
TTI	Idas, Dingtra	195	Systems		
TTI	Ushba Sind, Dingtra	196	Systems		
TTI	Cadion, Core	198	Setting		
TTI	Brygella, Cadion	198	Systems		
TTI	Kysizi, Cadion	201	Systems		
TTI	Lia, Cadion	202	Systems		
TTI	Corwin Corporation	202	Setting		
TTI	Night, Cadion	202	Systems		
TTI	Oo-ne-beto-pon-tee	202	Sophonts		
TTI	Travellers	204	Sophonts		Oo-ne-beto-pon-tee
TTI	Reference, Cadion	205	Systems		
TTI	University of Aadkhien	205	Setting		
TTI	Alpha	205	Setting		Research Stations
TTI	Second Reference	206	Setting		
TTI	Azhanti High Lightning-class Argushiigi Admegulasha Bilanidin	208	Ships		
TTI	Ch'narr, Core	212	Setting		
