Document	Topic	Page	Type	Primary	Group
TaA	Touchstone	2	Sector		
TaA	Ekteiu, Touchstone	3	Subsectors		
TaA	Ar’Chrinhdah, Ekteiu	5	Systems		
TaA	Ascondi	5	Sophonts		
TaA	Kyahiyleakhaw, Ekteiu	6	Subsectors		
TaA	Q-464-X, Kyahiyleakhaw	8	Systems		
TaA	Wielderness, Kyahiyleakhaw	8	Systems		
TaA	Reptiloid	8	Bestiary		
TaA	Hiryarloah, Touchstone	9	Subsectors		
TaA	Arihiy’oilew, Hiryarloah	11	Systems		
TaA	Grief, Hiryarloah	11	Systems		
TaA	Eietorl Easa’, Touchstone	12	Subsectors		
TaA	Uaseirl, Eietorl Easa’	14	Systems		
TaA	A Ekhyolyooul, Touchstone	17	Subsectors		
TaA	VF-221-X, A Ekhyolyooul	17	Systems		
TaA	Yukheawealruahiykh, A Ekhyolyooul	17	Systems		
TaA	Alo’hei	17	Sophonts	No	
TaA	Iheihorla, Touchstone	18	Subsectors		
TaA	Aosola Fringe, Iheihorla	20	Systems		
TaA	Daydyor Yashas, Iheihorla	20	Systems		
TaA	Aosola, Touchstone	21	Subsectors		
TaA	Forbidden, Aosola	21	Systems		
TaA	Rraerrgdzakaek, Aosola	21	Systems		
TaA	Ikairleah, Touchstone	24	Subsectors		
TaA	Uiye, Ikairleah	24	Systems		
TaA	Rikakihr-Dehnehror Expedition	24	Setting		
TaA	Rayralehk, Ikairleah	26	Systems		
TaA	Earluioiw, Touchstone	27	Subsectors		
TaA	Caplis, Earluioiw	27	Systems		
TaA	Taikhahriysea'yoruh, Touchstone	29	Subsectors		
TaA	Allbutbarren, Taikhahriysea'yoruh	29	Systems		
TaA	VF-398-X, Taikhahriysea'yoruh	29	Systems		
TaA	Tarlaihiyr, Touchstone	31	Subsectors		
TaA	T-O-1, Tarlaihiyr	31	Systems		
TaA	Oheaaye'eal, Touchstone	33	Subsectors		
TaA	Greatlake, Oheaaye'eal	33	Systems		
TaA	Iywe'uar, Touchstone	35	Subsectors		
TaA	Kamlenkammiiii, Iywe'uar	35	Systems		
TaA	Silenne, Iywe'uar	35	Systems		
TaA	Hritihtoi, Touchstone	37	Subsectors		
TaA	Nahartu, Hritihtoi	37	Systems		
TaA	NX-38-S1, Hritihtoi	37	Systems		
TaA	Mountain Pouncer	39	Bestiary		
TaA	Venomvines	39	Bestiary		
TaA	Ayaau'khte, Touchstone	40	Systems		
TaA	Phobetor, Ayaau'khte	40	Systems	No	
TaA	Ala'ourl, Touchstone	40	Subsectors		
TaA	Phobetor, Ayaau'khte	42	Systems		
TaA	Shackleton	43	Setting		
TaA	Flame Train	55	Vehicles		
TaA	Ascondi	62	Sophonts		
TaA	Afawahisa	67	Sectors		
TaA	Hkao, Afawahisa	68	Subsectors		
TaA	Kifnell, Hkao	68	Systems		
TaA	Steakheya, Afawahisa	70	Subsectors		
TaA	Etaa, Afawahisa	70	Subsectors		
TaA	Aoaakhaowea, Afawahisa	71	Subsectors		
TaA	Yalroeroh, Aoaakhaowea	71	Systems		
TaA	Hkyewaol, Afawahisa	73	Subsectors		
TaA	Herebedragons, Hkyewaol	73	Systems		
TaA	Khtoueaesih, Afawahisa	75	Subsectors		
TaA	Yustetya, Khtoueaesih	75	Systems		
TaA	Hahkuleiea, Afawahisa	77	Subsectors		
TaA	Tekheal, Hahkuleiea	77	Systems		
TaA	Ahesailiyhah, Afawahisa	79	Subsectors		
TaA	Khtekhheaw, Ahesailiyhah	79	Systems		
TaA	Yuyahtao, Afawahisa	81	Subsectors		
TaA	Khuiseatasyeh, Yuyahtao	81	Systems		
TaA	Urlich's Find, Yuyahtao	83	Systems		
TaA	Yaferoakh, Yuyahtao	83	Systems		
TaA	Iuatyeleahoi, Afawahisa	84	Subsectors		
TaA	Ahyulafa, Iuatyeleahoi	84	Systems		
TaA	Hreeuaa, Iuatyeleahoi	84	Systems		
TaA	Oarua, Afawahisa	86	Subsectors		
TaA	Auheliylaol, Oarua	86	Systems		
TaA	Ryuwaha, Afawahisa	88	Subsectors		
TaA	Ryo, Ryuwaha	90	Systems		
TaA	Okhoikoil	90	Bestiary		
TaA	Ryo Steamship	91	Vehicles		
TaA	Htaoeasee, Afawahisa	93	Subsectors		
TaA	Yaioukh, Htaoeasee	93	Systems		
TaA	Uaowa, Htaoeasee	93	Systems		
TaA	Tousyosyesoh, Afawahisa	96	Subsectors		
TaA	Teahehwaih, Tousyosyesoh	98	Systems		
TaA	Hkiyiyfteah, Afawahisa	99	Subsectors		
TaA	Ealoros, Hkiyiyfteah	101	Systems		
TaA	Ehrelew, Afawahisa	102	Subsectors		
TaA	Aihea, Ehrelew	104	Systems		
TaA	Eaaooastiei, Ehrelew	104	Systems		
TaA	Stouoihalra, Ehrelew	104	Systems		
