Document	Topic	Page	Type	Primary	Group
DC	Pirates of Drinax	2	Adventure		
DC	Person-Work-Hours (PWH)	2	Rules		
DC	Required Skill Level (RSL)	3	Rules		
DC	Allegiance Code (AC)	3	Rules		
DC	Asset Value (AV)	3	Rules		
DC	Piracy Response Indicator (PRI)	3	Rules		
DC	Skilled Team Tasks	3	Rules		
DC	How to Build an Empire	9	Rules		
DC	Faction Size	15	Rules		
DC	Faction Cost	15	Rules		
DC	Faction Alignment	17	Rules		
DC	Faction Modifiers	17	Rules		
DC	Torpol Cluster	19	Setting		
DC	Torpol, Tlaiowaha	21	System		
DC	Traefar Spaceport	22	Setting		
DC	Clarke, Tlaiowaha	26	System		
DC	Blue, Tlaiowaha	30	System		
DC	Bulhai Freeport	30	Setting		
DC	Theev Cluster	34	Setting		
DC	Vume, Sindal	37	System		
DC	Theev, Sindal	37	System		
DC	The Skull	41	Setting		
DC	Widows of Blacksand	42	Setting		
DC	Blacksand	42	Setting		
DC	Blacksand Widow	43	NPCs		
DC	Palindrome, Sindal	37	System		
DC	Astrogo	48	Setting		
DC	Lady Yemar	48	Setting		
DC	Harrier-Class Commerce Raider	49	Ships		
DC	Damage and Defects of the Harrier	59	Setting		
DC	Commerce Raiding Operations	65	Setting		
DC	Piracy Response	68	Rules		
DC	Operational Considerations	75	Rules		
DC	Building a Base	79	Rules		
DC	First Prize	90	Adventure		
DC	Margaret Blaine	90	Setting		
DC	Stories from Sindal	95	Adventure		
DC	Gods of Marduk	101	Adventure		
DC	Maris Enar	101	Person		
DC	Islanders	107	NPCs		
DC	Marduk, Sindal	101	System		
DC	Furtherance	102	Setting		
DC	Maris Enar	101	Patron		
DC	Revolution on Acrid	111	Adventure		
DC	Pax Rulin Quartermasters	111	Corporation		
DC	Gera Hollis	111	Person		
DC	Acrid, The Borderland	111	System		
DC	Gera Hollis	111	Patron		
DC	Friends in Dry Places	118	Adventure		
DC	Kteiroa, Tlaiowaha	118	System		
DC	Utea	118	Person		
DC	Utea	118	Patron		
DC	Security Robot	122	Robots		
DC	The Cordon Conflict	125	Adventure		
DC	Cordan, The Borderland	125	System		
DC	Baroness Lux	125	Patron		
DC	Baroness Lux	125	Person		
DC	Baron Fero	127	Person		
DC	Baron Halley	127	Person		
DC	Josephus Agraaki	128	Person		
DC	Bodyguard	128	NPCs		
DC	Armoured Car	129	Vehicle		
DC	Paramilitary Guard	129	NPCs		
DC	Militia	129	NPCs		
DC	Lions of Thebus	134	Adventure		
DC	Ftahkaiw	134	Person		
DC	Ftahkaiw	134	Patron		
DC	Thebus, Sindal	134	System		
DC	Thebun Lion	138	Bestiary		
DC	Male Aslan	139	NPCs		
DC	Female Aslan	139	NPCs		
DC	Ftahteas	139	Person		
DC	Hunter	140	NPCs		
DC	Liberty Port	142	Adventure		
DC	Sperle, The Borderland	142	System		
DC	Free Sperle Society	142	Patron		
DC	Free Sperle Society	142	Setting		
DC	General Development Corporation	142	Megacorporation	No	
DC	Armandie Kern	143	Person		
DC	Sperle Searcher	144	Vehicle		
DC	Enshaari’s Spacers	145	Setting		Pirate
DC	Ship Encounters	149	Setting		
DC	Red Adder	152	Setting		Ship Encounters
DC	Blank Slate	153	Setting		Ship Encounters
DC	Meldas Bama Teta Kehn	154	Setting		Ship Encounters
DC	Meldas Bama Teta Kehn	154	Darrian		Ship Encounters
DC	Noseforgold	155	Setting		Ship Encounters
DC	Starlight Voyager	156	Setting		Ship Encounters
DC	Trojan Ranger	157	Setting		Ship Encounters
DC	Lady Carneliana Hilfssen	157	Setting		
DC	Emma	158	Setting		Ship Encounters
DC	Sawnenson’s Pride	159	Setting		Ship Encounters
DC	Pelzentin Della	160	Setting		Ship Encounters
DC	Puttinalong	161	Setting		Ship Encounters
DC	Shebiigibuka Duam	162	Setting		Ship Encounters
DC	Handow’s Ship	163	Setting		Ship Encounters
DC	Handow ‘The Dealer’ Venquist	163	Setting		
DC	Carnise	164	Setting		Ship Encounters
DC	Uekh Etasieaheari	165	Setting		Ship Encounters
DC	Uekh Etasieaheari	165	Aslan		Ship Encounters
DC	Ikurdagur	166	Setting		Ship Encounters
DC	Ardasil Conveyor	167	Setting		Ship Encounters
DC	Yearle Spacelines Incorporated	167	Setting		
