Document	Topic	Page	Type	Primary	Group
CSC	Availability	4	Rules		
CSC	Black Market	4	Rules		
CSC	Law Enforcement	6	Rules		
CSC	Fabrication Chambers	7	Rules		
CSC	Ship's Locker	10	High Guard		
CSC	ProtoTech	10	Rules		
CSC	RetroTech	11	Rules		
CSC	Ballistic Vest	12	Armour		
CSC	Ceramic Carapace	12	Armour		
CSC	Cloth	12	Armour		
CSC	Cloth Jacket	12	Armour		
CSC	Cloth Trench Coat	12	Armour		
CSC	Diplo Vest	14	Armour		
CSC	Flak Jacket	14	Armour		
CSC	Flak Shell	14	Armour		
CSC	Hunter Field Garb	14	Armour		
CSC	Jack	14	Armour		
CSC	Mesh	14	Armour		
CSC	Protec Suit	14	Armour		
CSC	Personal Energy Shield	14	Armour		
CSC	Poly Carapace	14	Armour		
CSC	Post-Apocalyptic	14	Armour		
CSC	Tactical Riot Armour	14	Armour		
CSC	Armour	12	Rules		
CSC	Breastplate	17	Armour		
CSC	Full Plate	17	Armour		
CSC	Half-Plate	17	Armour		
CSC	Mail Hauberk	17	Armour		
CSC	Archaic Armour	17	Rules		
CSC	Anti-Energy Armour	18	Rules		
CSC	Ablat	18	Armour		
CSC	Conduit-Bleed	18	Armour		
CSC	Dispersion	18	Armour		
CSC	Fireproof Suit	18	Armour		
CSC	Neural Sheath	18	Armour		
CSC	Reflec	18	Armour		
CSC	Modification	20	Armour		
CSC	Additional Padding	20	Armour		Modification
CSC	Auto Helmet	20	Armour		Modification
CSC	Automedikit	20	Armour		Modification
CSC	Auto Protect Kit	20	Armour		Modification
CSC	Camouflage	20	Armour		Modification
CSC	Chameleon	21	Armour		Modification
CSC	Computer Weave	21	Armour		Modification
CSC	Coolant Rig	21	Armour		Modification
CSC	Environment Reader	22	Armour		Modification
CSC	Extended Life Support	22	Armour		Modification
CSC	Eye Protection	22	Armour		Modification
CSC	Friend or Foe HUD	22	Armour		Modification
CSC	Gecko Pads	22	Armour		Modification
CSC	Grav Assist	23	Armour		Modification
CSC	Gyro-stabiliser Rig	23	Armour		Modification
CSC	Hands-Free Cuff	23	Armour		Modification
CSC	Helmet Lights	23	Armour		Modification
CSC	Life Support Belt	24	Armour		Modification
CSC	Life Support System	24	Armour		Modification
CSC	Magnetic Grapples	24	Armour		Modification
CSC	Minefield Boots	24	Armour		Modification
CSC	Null Shield	24	Armour		Modification
CSC	Personalisation	25	Armour		Modification
CSC	Psionic Shield Helmet	25	Armour		Modification
CSC	Self-Sealing	25	Armour		Modification
CSC	Reflec Coating	25	Armour		Modification
CSC	Smart Fabric	25	Armour		Modification
CSC	Submarine Functionality	25	Armour		Modification
CSC	Tactical Video Suite	26	Armour		Modification
CSC	Thruster Pack	26	Armour		Modification
CSC	Vacc Suit Accessory Pack	26	Armour		Modification
CSC	Protective Suits	27	Rules		
CSC	Electronics Suite	27	Central Supply		
CSC	Electronics Suite	27	Armour		
CSC	Emergency Hostile Environment Suit	28	Armour		
CSC	Emergency Softsuit	29	Armour		
CSC	Environment Suit	29	Armour		
CSC	Explosive Ordnance Disposal Suit	29	Armour		
CSC	Hostile Environment Vacc (HEV) Suit	29	Armour		
CSC	Pressure Sleeve	29	Armour		
CSC	Rescue Suit	31	Armour		
CSC	Shipsuit	31	Armour		
CSC	Skinsuit	31	Armour		
CSC	Vacc Suit	31	Armour		
CSC	Boarding Vacc Suit	33	Armour		
CSC	Ceramic Combat Armour	33	Armour		
CSC	Combat Armour	33	Armour		
CSC	Combat Environment Suit	33	Armour		
CSC	Psi-Enhanced Combat Armour	33	Armour		
CSC	Military Suits	33	Armour		
CSC	Military Suits	33	Rules		
CSC	Civilian Suits	28	Armour		
CSC	Civilian Suits	28	Rules		
CSC	Powered Suits	35	Armour		
CSC	Powered Suits	35	Rules		
CSC	Ceramic Powered Plate	35	Armour		
CSC	Exoskeleton	36	Armour		
CSC	Extreme Environment Exploration (E3) Suit	36	Armour		
CSC	Grav-Enhanced Powered Plate	36	Armour		
CSC	Mechanical Carapace	36	Armour		
CSC	Powered Plate	36	Armour		
CSC	Battle Dress	38	Armour		
CSC	Battle Dress	38	Rules		
CSC	Artillery Battle Dress	40	Armour		
CSC	Assault Battle Dress	40	Armour		
CSC	Battle Dress	40	Armour		
CSC	Ceramic Battle Dress	40	Armour		
CSC	Combat Pioneer Battle Dress	40	Armour		
CSC	Command Battle Dress	40	Armour		
CSC	Logistics Battle Dress	40	Armour		
CSC	Psi-Commando Battle Dress	40	Armour		
CSC	Psi-Enhanced Battle Dress	40	Armour		
CSC	Scout Battle Dress	40	Armour		
CSC	Battle Dress Modification	44	Armour		
CSC	Anti-Missile System	44	Armour		Battle Dress Modification
CSC	Active Camouflage	44	Armour		Battle Dress Modification
CSC	Advanced Life Support	44	Armour		Battle Dress Modification
CSC	Enhanced Mobility	45	Armour		Battle Dress Modification
CSC	Enhanced Strength	45	Armour		Battle Dress Modification
CSC	Environment Protection	45	Armour		Battle Dress Modification
CSC	Flight Pack	45	Armour		Battle Dress Modification
CSC	Fuel Cells	45	Armour		Battle Dress Modification
CSC	Heavy Plating	45	Armour		Battle Dress Modification
CSC	High Velocity Targeting Array	46	Armour		Battle Dress Modification
CSC	Integrated Toolkit	46	Armour		Battle Dress Modification
CSC	Integrated Weapon Mount	46	Armour		Battle Dress Modification
CSC	Ion Shield	46	Armour		Battle Dress Modification
CSC	Parachute	47	Armour		Battle Dress Modification
CSC	Prismatic Aerosol	47	Armour		Battle Dress Modification
CSC	Sensor Suite	47	Armour		Battle Dress Modification
CSC	Stealth	47	Armour		Battle Dress Modification
CSC	Augments	48	Central Supply		
CSC	Detachable	49	Central Supply		Augment Option
CSC	Invisitech	49	Central Supply		Augment Option
CSC	Natural-looking	49	Central Supply		Augment Option
CSC	Ruggedised	49	Central Supply		Augment Option
CSC	Self-repairing	49	Central Supply		Augment Option
CSC	Additional Manipulator	50	Central Supply		
CSC	All-Temperature Epidermal Symbiote	50	Central Supply		
CSC	Altered Appearance	50	Central Supply		
CSC	Biotech	50	Rules		
CSC	Bio-fusion Power Port	51	Central Supply		
CSC	Cardiotrigger Detonator	51	Central Supply		
CSC	Genetic Aquamorph Adaption	51	Central Supply		
