Document	Topic	Page	Type	Primary	Group
CRB	Tech Levels	6	Setting		
CRB	Traveller Creation	8	Rules		
CRB	Social Standing	11	Setting		
CRB	University	16	Career		Pre-Career
CRB	Military Academy	16	Career		Pre-Career
CRB	Pre-Career Events	17	Rules		
CRB	Skill Limits	18	Rules		
CRB	Connection Rule	19	Rules		
CRB	Draft, The	19	Rules		
CRB	Contacts	19	Rules		
CRB	Allies	19	Rules		
CRB	Rivals	19	Rules		
CRB	Enemies	19	Rules		
CRB	Agent	22	Career		
CRB	Army	24	Career		
CRB	Citizen	26	Career		
CRB	Drifter	28	Career		
CRB	Entertainer	30	Career		
CRB	Marine	32	Career		
CRB	Merchant	34	Career		
CRB	Navy	36	Career		
CRB	Noble	38	Career		
CRB	Rogue	40	Career		
CRB	Scholar	42	Career		
CRB	Scout	44	Career		
CRB	Life Events	46	Rules		
CRB	Benefits	46	Rules		
CRB	Ship Shares	48	Rules		
CRB	Pension	48	Rules		
CRB	Ageing	48	Rules		
CRB	Travellers' Aid Society	47	Setting		
CRB	TAS	47	Setting		
CRB	Injuries	49	Setting		
CRB	Traveller	50	Rules		Skill Package
CRB	Explorer	50	Rules		Skill Package
CRB	Mercenary	50	Rules		Skill Package
CRB	Diplomat	50	Rules		Skill Package
CRB	Trader	50	Rules		Skill Package
CRB	Investigator	50	Rules		Skill Package
CRB	Starship	50	Rules		Skill Package
CRB	Criminal	50	Rules		Skill Package
CRB	Medical Debt	52	Rules		
CRB	Aslan	53	Rules		
CRB	Vargr	54	Rules		
CRB	Training	55	Rules		
CRB	Prisoner	56	Career		
CRB	Task Checks	58	Rules		
CRB	Task Difficulties	60	Rules		
CRB	Boon	61	Rules		
CRB	Bane	61	Rules		
CRB	Effect	61	Rules		
CRB	Opposed Checks	62	Rules		
CRB	Timeframes	62	Rules		
CRB	Task Chains	63	Rules		
CRB	Task Difficulties	64	Rules	No	
CRB	Boon	64	Rules	No	
CRB	Bane	64	Rules	No	
CRB	Admin	64	Skill		
CRB	Advocate	64	Skill		
CRB	Animals	64	Skill		
CRB	Art	65	Skill		
CRB	Astrogation	65	Skill		
CRB	Athletics	65	Skill		
CRB	Broker	66	Skill		
CRB	Carouse	66	Skill		
CRB	Deception	66	Skill		
CRB	Diplomat	66	Skill		
CRB	Drive	66	Skill		
CRB	Electronics	66	Skill		
CRB	Engineer	67	Skill		
CRB	Explosives	67	Skill		
CRB	Flyer	68	Skill		
CRB	Gambler	68	Skill		
CRB	Gunner	68	Skill		
CRB	Gun Combat	68	Skill		
CRB	Heavy Weapons	68	Skill		
CRB	Investigate	69	Skill		
CRB	Jack-of-All-Trades	69	Skill		
CRB	Language	69	Skill		
CRB	Leadership	69	Skill		
CRB	Mechanic	69	Skill		
CRB	Medic	69	Skill		
CRB	Melee	70	Skill		
CRB	Navigation	70	Skill		
CRB	Persuade	70	Skill		
CRB	Pilot	70	Skill		
CRB	Profession	70	Skill		
CRB	Belter	70	Rules		
CRB	Recon	71	Skill		
CRB	Science	71	Skill		
CRB	Seafarer	71	Skill		
CRB	Stealth	71	Skill		
CRB	Steward	71	Skill		
CRB	Streetwise	71	Skill		
