Document	Topic	Page	Type	Primary	Group
DSEH	Exploring Deep Space	3	Rules		
DSEH	Distant Sensor Operations	4	Rules		
DSEH	Preliminary Survey	4	Rules		
DSEH	Detailed Survey	4	Rules		
DSEH	Focussed Expedition	5	Rules		
DSEH	Identification of Target	3	Rules		
DSEH	Theoretical Work	4	Rules		
DSEH	Survey Index	5	Rules		
DSEH	Black Hole	6	Rules		
DSEH	Neutron Star	6	Rules		
DSEH	High-gravity starship operations	7	Rules		
DSEH	Nebula	9	Rules		
DSEH	Interstellar Cloud	9	Rules		
DSEH	Protostar	9	Rules		
DSEH	T Tauri Star	9	Rules		
DSEH	Dust Cloud starship operations	9	Rules		
DSEH	Nova	10	Rules		
DSEH	Supernova	10	Rules		
DSEH	Stars	11	Rules		
DSEH	Sub-stellar Object	11	Rules		
DSEH	Jump Shadow	11	Rules		
DSEH	Spectral Class	12	Rules		
DSEH	Detecting Rogue Bodies	13	Rules		
DSEH	Short-Range Detection	13	Rules		
DSEH	Detected Object	14	Rules		Random Table
DSEH	Star System Creation	15	Rules		
DSEH	Base Module	21	High Guard		
DSEH	Chart Room	21	High Guard		
DSEH	Fuel Container	21	High Guard		
DSEH	Cargo Container	21	High Guard		
DSEH	Gravitational Analysis Suite	22	High Guard		
DSEH	Marcelcru Device	22	High Guard		
DSEH	Gravitational Shield	22	High Guard		
DSEH	Hostile Environment Operations Package	23	High Guard		
DSEH	Hostile Environment Operations Support Suite (HEOSS)	23	High Guard		
DSEH	Observatory	24	High Guard		
DSEH	Pressure Hull	24	High Guard		
DSEH	Ramscoop	25	High Guard		
DSEH	Scientific Operations Suite	25	High Guard		
DSEH	Science	25	High Guard		Software
DSEH	Mentor	26	High Guard		Software
DSEH	Research Assist	26	High Guard		Software
DSEH	Flight Operations	26	High Guard		Software
DSEH	Planetology	26	High Guard		Software
DSEH	Arladu-Class Utility Boat	28	Small Craft		
DSEH	Randall-Class Hostile Environment Exploration Vessel	30	Ships		
DSEH	Waka Ama-Class Long Range Scout/Message Boat	33	Ships		
DSEH	Armstrong-Class Exploration Vessel	36	Ships		
DSEH	Gurmashmar Nuur-Class Far Courier	42	Ships		
DSEH	Zarelinung-Class Interstellar Vessel	45	Ships		
