Document	Topic	Page	Type	Primary	Group
HG	Imperial Navy	3	Setting		
HG	Ship's Locker	3	High Guard		
HG	Battle Squadrons	4	Setting		
HG	Cruiser Squadrons	4	Setting		
HG	Assault Squadrons	4	Setting		
HG	Ship Definitions	5	High Guard		
HG	Construction Times	8	High Guard		
HG	Hull Configuration	10	High Guard		
HG	Standard	10	High Guard		Hull Configuration
HG	Streamlined	10	High Guard		Hull Configuration
HG	Sphere	10	High Guard		Hull Configuration
HG	Close Structure	10	High Guard		Hull Configuration
HG	Dispersed Structure	10	High Guard		Hull Configuration
HG	Planetoid	10	High Guard		Hull Configuration
HG	Buffered Planetoid	10	High Guard		Hull Configuration
HG	Reinforced Hull	12	High Guard		
HG	Light Hull	12	High Guard		
HG	Military Hull	12	High Guard		
HG	Non-Gravity Hull	12	High Guard		
HG	Double Hull	12	High Guard		
HG	Hamster Cage	12	High Guard		
HG	Breakaway Hulls	12	High Guard		
HG	Hull Armour	12	High Guard		
HG	Heat Shielding	13	High Guard		Hull Option
HG	Radiation Shielding	14	High Guard		Hull Option
HG	Reflec	14	High Guard		Hull Option
HG	Solar Coating	14	High Guard		Hull Option
HG	Stealth	14	High Guard		Hull Option
HG	Synchronised Jumps	15	Rules		
HG	Manoeuvre Drives	16	High Guard		
HG	Reaction Drives	16	High Guard		
HG	Jump Drives	16	High Guard		
HG	Power Plant	17	High Guard		
HG	Fuel Tanks	18	High Guard		
HG	Bridge	19	High Guard		
HG	Computer	20	High Guard		
HG	Jump Control Specialization	20	High Guard		Computer Option
HG	Hardened Systems	20	High Guard		Computer Option
HG	/bis	20	High Guard		Computer Option
HG	/fib	20	High Guard		Computer Option
HG	Sensors	21	High Guard		
HG	Crew Requirements	22	High Guard		
HG	Weapons and Screens	26	High Guard		
HG	Critical Hits	27	Rules		
HG	Staterooms	24	High Guard		
HG	Emergency	24	High Guard		Low Berths
HG	Low Berths	24	High Guard		
HG	Common Area	24	High Guard		
HG	Airlocks	25	High Guard		
HG	Cargo Hatches	25	High Guard		
HG	Turrets	28	High Guard		
HG	Fixed Mounts	28	High Guard		
HG	Pop-Up Mounting	28	High Guard		
HG	Beam Laser	28	High Guard		Turrets
HG	Fusion Gun	28	High Guard		Turrets
HG	Laser Drill	28	High Guard		Turrets
HG	Missile Rack	28	High Guard		Turrets
HG	Particle Beam	29	High Guard		Turrets
HG	Plasma Gun	29	High Guard		Turrets
HG	Pulse Laser	29	High Guard		Turrets
HG	Railgun	29	High Guard		Turrets
HG	Sandcaster	29	High Guard		Turrets
HG	Barbettes	29	High Guard		
HG	Beam Laser	29	High Guard		Barbettes
HG	Fusion	29	High Guard		Barbettes
HG	Ion Cannon	29	High Guard		Barbettes
HG	Ion	30	High Guard		Weapon Trait
HG	Damage Multiples	29	High Guard		
HG	Orbital Bombardment	30	High Guard		Weapon Trait
HG	Orbital Strike	30	High Guard		Weapon Trait
HG	Missile	31	High Guard		Barbettes
HG	Particle	31	High Guard		Barbettes
HG	Plamsa	31	High Guard		Barbettes
HG	Pulse Laser	31	High Guard		Barbettes
HG	Railgun	31	High Guard		Barbettes
HG	Torpedo	31	High Guard		Barbettes
HG	Radiation	31	High Guard		Weapon Trait
HG	Bays	31	High Guard		
HG	Fusion Gun	32	High Guard		Bays
HG	Ion Cannon	32	High Guard		Bays
HG	Mass Driver	32	High Guard		Bays
HG	Meson Gun	32	High Guard		Bays
HG	Missile	33	High Guard		Bays
HG	Orbital Strike Mass Driver	33	High Guard		Bays
HG	Orbital Strike Missile	33	High Guard		Bays
HG	Particle Beam	33	High Guard		Bays
HG	Railgun	33	High Guard		Bays
HG	Repulsor Bay	33	High Guard		Bays
HG	Torpedo	34	High Guard		Bays
HG	Spinal Weapons	34	High Guard		
HG	Mass Driver	35	High Guard		Spinal Weapons
HG	Meson	35	High Guard		Spinal Weapons
HG	Particle	36	High Guard		Spinal Weapons
HG	Railgun	36	High Guard		Spinal Weapons
HG	Missiles	36	High Guard		
HG	Advanced	36	High Guard		Missiles
HG	Antimatter	36	High Guard		Missiles
HG	Anti-Torpedo	36	High Guard		Missiles
HG	Decoy	36	High Guard		Missiles
HG	Fragmentation	36	High Guard		Missiles
HG	Ion	37	High Guard		Missiles
HG	Jumpbreaker	37	High Guard		Missiles
HG	Long-Range	37	High Guard		Missiles
HG	Missile Flight Times	37	High Guard		
HG	Multi-Warhead	38	High Guard		Missiles
HG	Nuclear	38	High Guard		Missiles
HG	Ortillery	38	High Guard		Missiles
HG	Shockwave	38	High Guard		Missiles
HG	Standard	38	High Guard		Missiles
HG	Sandcasters	38	High Guard		
HG	Anti-Personnel	38	High Guard		Sandcasters
