Document	Topic	Page	Type	Primary	Group
NCS	Naval Ship Roles	4	Setting		
NCS	Naval Traveller Creation	5	Rules		
NCS	Naval Ship Quirks	11	Rules		Random Table
NCS	Naval Ship Traits	12	Rules		Random Table
NCS	Crew Effectiveness Index (CEI)	13	Rules		
NCS	Effective CEI (ECEI)	14	Rules		
NCS	ECEI Changes	14	Rules		Random Table
NCS	Detachment Efficiency Index (DEI)	15	Rules		
NCS	Detachment	15	Rules		
NCS	Morale (MOR)	17	Rules		
NCS	Naval Incidents	21	Rules		Random Table
NCS	Naval Crew Skills	20	Rules		
NCS	Naval Career Advancement Summary	22	Rules		
NCS	Naval Recruiting	22	Rules		
NCS	Court-martial	24	Rules		
NCS	Punishment	25	Rules		
NCS	Navy Medals	25	Rules		
NCS	Intelligence Events	28	Rules		
NCS	Campaign Events	29	Rules		
NCS	Incident	29	Rules		
NCS	Supply Units (SU)	30	Rules		
NCS	Repairs	32	Rules		
NCS	Supplies, Obtaining	32	Rules		
NCS	Mission Success Indicator (MSI)	36	Rules		
NCS	Mission Success	38	Rules		
NCS	Mission Outcome	39	Rules		
NCS	Segment Resolution	43	Rules		
NCS	Naval Incident	45	Rules		Random Table
NCS	Naval Mishap	45	Rules		Random Table
NCS	Naval Opportunity	46	Rules		Random Table
NCS	Mission Events	46	Rules		
NCS	Admiral’s Inspection	46	Rules		Mission Events
NCS	Aid to Civil Power	47	Rules		Mission Events
NCS	Anomaly	47	Rules		Mission Events
NCS	Breakdown	48	Rules		Mission Events
NCS	Convoy	48	Rules		Mission Events
NCS	Corsair Attack	48	Rules		Mission Events
NCS	Crew Problems	48	Rules		Mission Events
NCS	Crewmember Taken Ill	48	Rules		Mission Events
NCS	Deception	48	Rules		Mission Events
NCS	Diplomatic Entanglements	48	Rules		Mission Events
NCS	Distress Call	48	Rules		Mission Events
NCS	False Alarm	48	Rules		Mission Events
NCS	Friendly Vessel	48	Rules		Mission Events
NCS	New Orders	48	Rules		Mission Events
NCS	Official Aboard	48	Rules		Mission Events
NCS	Personnel Transfer	49	Rules		Mission Events
NCS	PR Exercise	49	Rules		Mission Events
NCS	Questionable Vessel	49	Rules		Mission Events
NCS	Redirection	49	Rules		Mission Events
NCS	Resupply	49	Rules		Mission Events
NCS	Spooky Goings-On	49	Rules		Mission Events
NCS	Supply Shortage	49	Rules		Mission Events
NCS	Resolving Combat	50	Rules		
NCS	Combat Outcome	51	Rules		
NCS	Combat Casualties	52	Rules		
NCS	Crew Fatigue	57	Rules		
NCS	Chronic Fatigue Syndrome (CFS)	59	Rules		
