Document	Topic	Page	Type	Primary	Group
RH	Shudusham Concords	3	Setting		
RH	History of Robots	2	Setting		
RH	Naasirka	4	Setting		
RH	Makhidkarun	4	Setting		
RH	Ling Standard Products (LSP)	4	Setting		
RH	Brain	5	Robotics		
RH	Robot Design	5	Robotics		
RH	Alarm	7	Robotics		Trait
RH	Amphibious	7	Robotics		Trait
RH	Armour (+X)	7	Robotics		Trait
RH	ATV	8	Robotics		Trait
RH	Flyer (X)	8	Robotics		Trait
RH	Hardened	8	Robotics		Trait
RH	Heightened Senses	8	Robotics		Trait
RH	Invisible	8	Robotics		Trait
RH	IR Vision	8	Robotics		Trait
RH	IR/UV Vision	8	Robotics		Trait
RH	Large (+X)	8	Robotics		Trait
RH	Small (-X)	8	Robotics		Trait
RH	Chassis Size	13	Robotics		
RH	Size	14	Robotics		
RH	Slots	14	Robotics		
RH	Spaces	14	Robotics		
RH	Tons	14	Robotics		
RH	Locomotion	16	Robotics		
RH	ACV	17	Robotics		Locomotion Trait
RH	ATV	17	Robotics		Locomotion Trait
RH	Flyer (X)	17	Robotics		Locomotion Trait
RH	Seafarer	17	Robotics		Locomotion Trait
RH	Thruster (X)	17	Robotics		Locomotion Trait
RH	Amour	19	Robotics		
RH	Endurance	19	Robotics		
RH	Resiliency	20	Robotics		
RH	Agility Enhancement	21	Robotics		Locomotion Modification
RH	Tactical Speed Enhancement	21	Robotics		Locomotion Modification
RH	Tactical Speed Reduction	21	Robotics		Locomotion Modification
RH	Vehicle Speed Movement	22	Robotics		Locomotion Modification
RH	Secondary Locomotion	22	Robotics		Locomotion Modification
RH	Endurance	23	Robotics		
RH	Manipulators	25	Robotics		
RH	Vehicle Robot Manipulators	27	Vehicle Workshop		
RH	Default Suite	29	Robotics		
RH	Camouflage: Visual Concealment	31	Robotics		Option
RH	Camouflage: Audible Concealment	32	Robotics		Option
RH	Camouflage: Olfactory Concealment	32	Robotics		Option
RH	Hostile Environment Protection	32	Robotics		Option
RH	Reflec Armour	32	Robotics		Option
RH	Solar Coating	33	Robotics		Option
RH	Vacuum Environment Protection	34	Robotics		Option
RH	Drone Interface	34	Robotics		Option
RH	Encryption Module	35	Robotics		Option
RH	Transceiver	35	Robotics		Option
RH	Video Screen	35	Robotics		Option
RH	Robots In Vacuum	34	Robotics		
RH	Voder Speaker	36	Robotics		Option
RH	Wireless Data Link	36	Robotics		Option
RH	Gecko Grippers	36	Robotics		Option
RH	Injector Needle	36	Robotics		Option
RH	Laser Designator	37	Robotics		Option
RH	Magnetic Grippers	37	Robotics		Option
RH	Parasitic Link	37	Robotics		Option
RH	Self-Maintenance Enhancement	37	Robotics		Option
RH	Stinger	38	Robotics		Option
RH	Atmospheric Sensor	38	Robotics		Option
RH	Auditory Sensor	38	Robotics		Option
RH	Environment Processor	38	Robotics		Option
RH	Geiger Counter	39	Robotics		Option
RH	Light Intensifier Sensor	39	Robotics		Option
RH	Olfactory Sensor	39	Robotics		Option
RH	PRIS Sensor	39	Robotics		Option
RH	Thermal Sensor	39	Robotics		Option
RH	Visual Spectrum Sensor	39	Robotics		Option
RH	Active Camouflage	41	Robotics		Option
RH	Corrosive Environment Protection	41	Robotics		Option
RH	Insidious Environment Protection	41	Robotics		Option
RH	Radiation Environment Protection	42	Robotics		Option
RH	Self-Repairing Chassis	42	Robotics		Option
RH	Submersible Environment Protection	42	Robotics		Option
RH	Domestic Cleaning Equipment	43	Robotics		Option
RH	Industrial Cleaning Equipment	43	Robotics		Option
RH	High Fidelity Sound System	44	Robotics		Option
RH	Robotic Drone Controller	44	Robotics		Option
RH	Satellite Uplink	45	Robotics		Option
RH	Swarm Controller	45	Robotics		Option
RH	Tightbeam Communicator	46	Robotics		Option
RH	Transceivers	46	Robotics		Option
RH	Medical Chamber	46	Robotics		Option
RH	Cryoberth	47	Robotics		Medical Chamber Option
RH	Low berth	47	Robotics		Medical Chamber Option
RH	Nanorobot applicator	47	Robotics		Medical Chamber Option
RH	Nanorobot generator	47	Robotics		Medical Chamber Option
RH	Reanimation	47	Robotics		Medical Chamber Option
RH	Species-specific add-on	47	Robotics		Medical Chamber Option
RH	Medikit	48	Robotics		Option
RH	Agricultural Equipment	48	Robotics		Option
RH	Autobar	49	Robotics		Option
RH	Autochef	49	Robotics		Option
RH	Autopilot	49	Robotics		Option
RH	Bioreaction Chamber	50	Robotics		Option
RH	Bioreactor	50	Robotics		Option
RH	Vat	50	Robotics		Option
RH	Construction Equipment	50	Robotics		Option
RH	Fabrication Chamber	51	Robotics		Option
RH	Fabrication Chamber	51	Rules		
RH	Forklift	52	Robotics		Option
RH	Holographic Projector	52	Robotics		Option
RH	Mining Equipment	52	Robotics		Option
RH	Navigation System	53	Robotics		Option
RH	Self-Destruct System	53	Robotics		Option
RH	Self-Maintenance Enhancement	54	Robotics		Option
RH	Stealth	54	Robotics		Option
RH	Offensive Self-Destruct Restrictions	54	Setting		
RH	Storage Compartment	55	Robotics		Option
RH	Video Projector	55	Robotics		Option
RH	External Power	55	Robotics		Option
RH	No Internal Power	56	Robotics		Option
RH	RTG Long Duration	56	Robotics		Option
RH	RTG Short Duration	56	Robotics		Option
RH	Solar Power Unit	56	Robotics		Option
RH	Quick Charger	57	Robotics		Option
RH	Bioscanner Sensor	57	Robotics		Option
RH	Densitometer Sensor	57	Robotics		Option
RH	Neural Activity Sensor	58	Robotics		Option
RH	Planetology Sensor Suite	58	Robotics		Option
RH	Recon Sensor	58	Robotics		Option
RH	Cutting Torch	58	Robotics		Option
RH	Electronics Toolkit	58	Robotics		Option
RH	Fire Extinguisher	59	Robotics		Option
RH	Forensic Toolkit	59	Robotics		Option
RH	Mechanical Toolkit	59	Robotics		Option
RH	Scientific Toolkit	59	Robotics		Option
RH	Starship Engineering Toolkit	60	Robotics		Option
RH	Stylist Toolkit	60	Robotics		Option
RH	Fire Control System	60	Robotics		Option
RH	Weapon Mount	61	Robotics		Option
RH	Weapon Mount Autoloader	61	Robotics		Option
RH	Vehicle Handbook	62	Robotics		
RH	Options and Armour	62	Robotics		
RH	Brain	65	Robotics		
RH	Primitive	65	Robotics		Brain Type
RH	Basic (X)	65	Robotics		Brain Type
RH	Hunter/Killer	65	Robotics		Brain Type
RH	Advanced	65	Robotics		Brain Type
RH	Very Advanced	65	Robotics		Brain Type
RH	Self-Aware	65	Robotics		Brain Type
RH	Conscious	66	Robotics		Brain Type
RH	Brain Size Limits	66	Robotics		Brain Type
RH	Advanced Capabilities	66	Robotics		Brain Type
RH	Brain Upgrade	67	Robotics		
RH	Bandwidth Upgrade	67	Robotics		Brain Upgrade
