Document	Topic	Page	Type	Primary	Group
SCC	Small Craft Benefits	3	Rules		
SCC	Using Small Craft	3	Rules		
SCC	Revised Fuel Operation Times	4	High Guard		
SCC	Armoury Module	5	High Guard		Module
SCC	Cattle Transport Module	5	High Guard		Module
SCC	Cold Passage Module	5	High Guard		Module
SCC	Fighter Hangar Module	6	High Guard		Module
SCC	Frontier Medical Module	6	High Guard		Module
SCC	Life Support Module	6	High Guard		Module
SCC	Missile Support Module	8	High Guard		Module
SCC	Orbital Outpost Module	8	High Guard		Module
SCC	Passenger Module	8	High Guard		Module
SCC	Planetary Assault Module	9	High Guard		Module
SCC	Planetary Outpost Module	9	High Guard		Module
SCC	Power Module	9	High Guard		Module
SCC	Public House Module	11	High Guard		Module
SCC	Relaxation Module	11	High Guard		Module
SCC	Salvage Module	11	High Guard		Module
SCC	Spaceborne Early Warning Module	12	High Guard		Module
SCC	Tanker Module	12	High Guard		Module
SCC	Urban Module	12	High Guard		Module
SCC	Civilian Hopper	15	Small craft		
SCC	Advertising Boat	16	Small craft		
SCC	Cargo Shuttle	17	Small craft		
SCC	Smuggler’s Pinnace	18	Small craft		
SCC	Short Shuttle	19	Small craft		
SCC	Fast Shuttle	20	Small craft		
SCC	Trade Shuttle	22	Small craft		
SCC	Extended Range Passenger Shuttle	24	Small craft		
SCC	Automated Lifeboat	27	Small craft		
SCC	Freight Handler Pod	28	Small craft		
SCC	Transporter	29	Small craft		
SCC	Utility Pod	30	Small craft		
SCC	Tradesman’s Gig	31	Small craft		
SCC	Belter Launch	32	Small craft		
SCC	Customs Launch	33	Small craft		
SCC	Lifeboat	34	Small craft		
SCC	Medical Launch	35	Small craft		
SCC	Rescue Boat	36	Small craft		
SCC	Modular Skiff	37	Small craft		
SCC	Research Pinnace	38	Small craft		
SCC	Customs Patrol Boat	39	Small craft		
SCC	Fast Cutter	40	Small craft		
SCC	Ship-to-Ship Shuttle	41	Small craft		
SCC	Traffic Control Router	42	Small craft		
SCC	Heavy Modular Cutter	43	Small craft		
SCC	Homeshield Mini-Fighter	46	Small craft		
SCC	Cyclone Ground Attack Fighter	47	Small craft		
SCC	Moray Antique Fighter	48	Small craft		
SCC	Sentinel Escort Fighter	49	Small craft		
SCC	Junker	50	Small craft		
SCC	Kashu Multirole Fighter	51	Small craft		
SCC	Jester Covert Operations Fighter	52	Small craft		
SCC	Vanguard Assault Fighter	53	Small craft		
SCC	Space Surveillance Boat	55	Small craft		
SCC	Carrier Support Craft	56	Small craft		
SCC	Fast Launch	57	Small craft		
SCC	Fighting Launch	58	Small craft		
SCC	Covert Insertion Boat	59	Small craft		
SCC	SEW Boat	60	Small craft		
SCC	Strike Boat	61	Small craft		
SCC	System Defence Rock	62	Small craft		
SCC	Boarding Shuttle	63	Small craft		
SCC	Cargo Transport	65	Small craft		
SCC	Planetary Assault Barge	67	Small craft		
SCC	System Defence Craft	69	Small craft		
SCC	Runabout	72	Small craft		
SCC	Protective Shuttle	73	Small craft		
SCC	Pressurised Yacht	75	Small craft		
SCC	In-System Sailing Yacht	77	Small craft		
SCC	Luxury Shuttle	79	Small craft		
SCC	Yeawel Light Fighter	82	Small craft		
SCC	Khuilrakh Light Fighter	83	Small craft		
SCC	Yaeai Reconnaissance Pinnace	84	Small craft		
SCC	Akhoilaw Shrine Ship	86	Small craft		
SCC	Faiyh Assault Craft	88	Small craft		
SCC	Ship's Boat	91	Small craft		
SCC	Baldr Attack Fighter	92	Small craft		
SCC	Vanguard Fusion Boat	93	Small craft		
SCC	Vanguard-M Missile Boat	95	Small craft		
SCC	Belt Racer	98	Small craft		
SCC	Gothta Ambush Fighter	99	Small craft		
SCC	Nolrrgarrai Strike Fighter	100	Small craft		
SCC	Corsair Pinnace	101	Small craft		
SCC	Tlatl Light Fighter	103	Small craft		
SCC	Estal Intrusion Shuttle	104	Small craft		
SCC	Kia Heavy Fighter	105	Small craft		
SCC	Brechatsnech Belt Survey Vessel	106	Small craft		
SCC	Nieshetsienz Gas Giant Survey Vessel	108	Small craft		
SCC	Drabr Chtor Terrestrial Survey Vessel	110	Small craft		
