Document	Topic	Page	Type	Primary	Group
TC	Wealth (WLT)	4	Rules		Characteristic
TC	Characteristic Modifiers	4	Rules		
TC	Luck (LCK)	5	Rules		Characteristic
TC	Morale (MRL)	6	Rules		Characteristic
TC	Sanity (STY)	8	Rules		Characteristic
TC	Social Standing (SOC)	9	Rules	No	Characteristic
TC	Traveller Creation	13	Rules		
TC	Maximum Terms	13	Rules		
TC	Bwap	14	Sophont	No	
TC	Package-based Creation	15	Rules		
TC	Point Buy System	22	Rules		
TC	Affinity	25	Rules		
TC	Enmity	25	Rules		
TC	Power	28	Rules		
TC	Influence	28	Rules		
TC	Colonial Upbringing	32	Career		Pre-Career
TC	Merchant Academy	33	Career		Pre-Career
TC	Psionic Community	33	Career		Pre-Career
TC	School of Hard Knocks	34	Career		Pre-Career
TC	Spacer Community	34	Career		Pre-Career
TC	Truther	35	Career		3rd Imperium
TC	Believer	35	Career		3rd Imperium
TC	Experience	41	Rules		
TC	Dedicated Experience	41	Rules		
TC	General Experience	41	Rules		
TC	Morale (MRL)	41	Rules		Characteristic
TC	Training	41	Rules		
TC	Gaining Skills	41	Rules		
TC	Increasing	41	Rules		Characteristic
TC	Increasing Characteristics	41	Rules		
TC	Skills	43	Rules		
TC	Art	43	Skill	No	
TC	Profession	43	Skill	No	
TC	Colonist	44	Skill		Profession
TC	Crewmember	44	Skill		Profession
TC	Freeloader	44	Skill		Profession
TC	Hostile Environment	44	Skill		Profession
TC	Spacer	44	Skill		Profession
TC	Sport	44	Skill		Profession
TC	Worker	44	Skill		Profession
TC	Colonist/Ranching	44	Skill		Profession
TC	Freeloader/Scrounging	44	Skill		Profession
TC	Freeloader/Security	45	Skill		Profession
TC	Hostile Environment/Contaminant	45	Skill		Profession
TC	Hostile Environment/High-G	45	Skill		Profession
TC	Hostile Environment/Low-G	45	Skill		Profession
TC	Hostile Environment/Underwater	45	Skill		Profession
TC	Spacer/Belter	45	Skill		Profession
TC	Spacer/Crewmember	45	Skill		Profession
TC	Sport/Various	45	Skill		Profession
TC	Worker/Metalworking	45	Skill		Profession
TC	Worker/Armourer	45	Skill		Profession
TC	Science	45	Skill	No	
TC	Life Sciences	45	Skill		Science
TC	Physical Sciences	46	Skill		Science
