Document	Topic	Page	Type	Primary	Group
WBH	Base Units	5	Rules		
WBH	Hex Code, Expanded	5	Rules		
WBH	D10 Emulation	4	Rules		
WBH	Imperial Interstellar Scout Service	7	Lore		
WBH	Survey Operations	12	Rules		
WBH	Survey Index	13	Rules		
WBH	Star Generation	14	Rules		
WBH	Star Mass	17	Rules		
WBH	Star Temperature	17	Rules		
WBH	Star Diameter	18	Rules		
WBH	Star Luminosity	18	Rules		
WBH	Jump Limits	18	Rules		
WBH	System Age	20	Rules		
WBH	Multiple Stars	23	Rules		
WBH	Star System Profile	31	Rules		
WBH	Eccentricity	27	Rules		
WBH	System World Generation	36	Rules		
WBH	World Size	69	Rules		
WBH	Planetoid Belt Characteristics	72	Rules		
WBH	Belt Profile	74	Rules		
WBH	Moon Characteristics	75	Rules		
WBH	Ring Characteristics	75	Rules		
WBH	Atmosphere	78	Rules		
WBH	Atmosphere Profile	82	Rules		
WBH	Atmosphere Taint	82	Rules		
WBH	Atmosphere Profile, Exotic	88	Rules		
WBH	Atmosphere Profile, Corrosive	90	Rules		
WBH	Atmosphere Profile, Imsidious	90	Rules		
WBH	Atmosphere Profile, Unusual	92	Rules		
WBH	Atmosphere Gas Mix Tables	95	Rules		
WBH	Hydrographics	99	Rules		
WBH	Exotic Liquids	102	Rules		
WBH	Hydrographics Profile	103	Rules		
WBH	Rotation Period	103	Rules		
WBH	Tidal Effects	107	Rules		
WBH	Temperature	108	Rules		
WBH	Seismology	125	Rules		
WBH	Native Lifeforms	127	Rules		
WBH	Biomass Rating	127	Rules		
WBH	Biocomplexity Rating	129	Rules		
WBH	Biodiversity Rating	130	Rules		
WBH	Biocompatibility Rating	130	Rules		
WBH	Native Sophonts	130	Rules		
WBH	Native Lifeform Profile	131	Rules		
WBH	Resource Rating	131	Rules		
WBH	Habitability Rating	132	Rules		
WBH	Mainworld Mapping	134	Rules		
WBH	Population	148	Rules		
WBH	Major Cities	152	Rules		
WBH	Government	156	Rules		
WBH	Law Level	163	Rules		
WBH	Technology	173	Rules		
WBH	Culture	181	Rules		
WBH	Diversity	181	Rules		
WBH	Xenophilia	182	Rules		
WBH	Uniqueness	182	Rules		
WBH	Symbology	182	Rules		
WBH	Cohesion	183	Rules		
WBH	Progressiveness	183	Rules		
WBH	Expansionism	183	Rules		
WBH	Militancy	184	Rules		
WBH	Cultural Profile	184	Rules		
WBH	Economics	185	Rules		
WBH	Trade Codes	186	Rules	No	
WBH	Importance	186	Rules		
WBH	Resource Factor	187	Rules		
WBH	Labour Factor	187	Rules		
WBH	Infrastructure Factor	187	Rules		
WBH	Efficiency Factor	187	Rules		
WBH	Resource Units	188	Rules		
WBH	Gross World Product	188	Rules		
WBH	World Trade Number (WTN)	190	Rules		
WBH	Inequality Rating	190	Rules		
WBH	Development Score	191	Rules		
WBH	Tarriffs	191	Rules		
WBH	Taxes	192	Rules		
WBH	Economic Profile	192	Rules		
WBH	Starports	193	Rules		
WBH	Starport Profile	199	Rules		
WBH	Military	200	Rules		
WBH	Military Budget	204	Rules		
WBH	Military Profile	205	Rules		
WBH	Bases	205	Rules		
WBH	Travel Zones	208	Rules		
WBH	Green Zone	208	Rules		
WBH	Amber Zone	208	Rules		
WBH	Red Zone	208	Rules		
WBH	IISS Procedural	209	Lore		
WBH	Empty Hexes	219	Rules		
WBH	Empty Hex Detection	221	Rules		
WBH	Empty Hex Jump	223	Rules		
WBH	Empty Hex Arrival Variance	223	Rules		
WBH	M-Drive Efficiency In Deep Space	224	Rules		
WBH	Protostar Systems	224	Rules		
WBH	Primordial Systems	225	Rules		
WBH	Brown Dwarf	226	Rules		
WBH	Dead Stars	227	Rules		
WBH	White Dwarf	227	Rules		
WBH	Neutron Star	227	Rules		
WBH	Black Hole	228	Rules		
WBH	Magnetar	228	Rules		
WBH	Pulsar	228	Rules		
WBH	Dead Star Jump Restrictions	228	Rules		
WBH	Dead Star Planetary System	229	Rules		
WBH	Nebulae	229	Rules		
WBH	Star Clusters	231	Rules		
WBH	Artificial Worlds	231	Rules		
WBH	Planetology Sensor Pack	235	Central Supply		
WBH	Environment Spike	235	Central Supply		
WBH	IISS Survey Pod	236	Vehicles		
WBH	IISS Covert Operations Pod	237	Vehicles		
WBH	Survey Helper	238	Robots		
WBH	MicroSpy	239	Robots		
WBH	Remote Environment Sentinel	239	Robots		
WBH	Pod Droid	240	Robots		
WBH	Census Estimator	241	Central Supply		Software
WBH	Deep Space Surveyor	241	Central Supply		Software
WBH	System Surveyor	241	Central Supply		Software
WBH	Hazardous Environment Exploration Boat	242	Small Craft		
